hsyk1**|좋아요! 허리가 크다고 해서 좀 걱정했는데 저한텐 딱맞고 좋네요 ㅋㅋㅋ 얇고 편해요!
wjdgusf**|스키니하게나왔대서일부러M시켰습니다품넉넉하고원하던슬랙스핏입니다편하고신축성도있고색도이쁘네요
wjdgusf**|넉넉하고 딱원하던 핏입니다헤짐도적당하고 길이도 귀엽게 입기 좋습니다바지편하구요
wntkrl**|이 가디건 진심 너무 예쁨..ㅎㅎ 어디 대충 나갈때 입어도 예쁘고 무난하게 아무 스타일 연출 가능한거 같아요 ㅠㅠ 소매 예쁘게 접어서 입으니 귀엽고 베이지 샀는데 26600원 안ㅇㅏ까울만큼 예쁘네요 ㅎㅎ 배송도 빨라서 좋았고 두께도 봄 가을에 입으면 좋을거같아요 ㅎㅎ
wntkrl**|아 이치마 너무 예쁨 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ 진짜 사길 백번 잘했어요 ㅠㅠㅠ 사진은 없지만 흰 셔츠랑 입었을때도 예뻤고 무난하게 다른 옷들이랑도 잘 어울리는거 같아요 ㅎㅎ 가격도 적당하고 무늬 너무 예쁩니다 ㅎㅎ 앞으롤 자주 입을 듯 합니다 ㅋㅋㅋㅋ
wntkrl**|긴치마랑 같이 사서 입었는데 니트 깔쌈하니 예뻐요 ~두께도 딱 적당하구요~  가격도 9400원이면 진짜 싼거고 좋습니다 ㅎㅎ고고싱 배송도 너무 빠르고 좋구요 옷 질도 너무 좋아용 ㅎㅎ앞으로 자주자주 이용 할게요 ^-^ 번창하세요 ~~~
thdal**|목부분 늘어날까봐 걱정이지만 이뻐서 좋아요 ~
thdal**|회색샀는데 바지핏도 이쁘고 배송도 빨라서 좋아요 ~
wntkrl**|저 키도 작고 해서 이런 긴치마 입어보는거 처음 도전해봤어요 !!! 처음에는 굉장히 어색했는데 보면 볼수록 예뻤고 앉아있을때 짧은 치마에 비해 너무너무 편했어요 !!!단점은 치마가 조금 무겁겐 해요 ㅠㅠㅠ그래도 진짜 좋은가격에 잘 샀습니다~
nyc5**|슬림 청치마 후기- 키, 몸무게156, 44-착용사이즈m-착용후느낌은?(좋은점/나쁜점)고고싱에서 두번째로 사보는 치마인데 제일 만족스러웠어요~다른 쇼핑몰 청치마가 너무 짧아서 마침 딱 마음에 드는 청치마가 나와서 바로 구매했는데, 입고도 빨리되고 배송도 엄청 빨랐어요!! 제가 원래 허리는 얇고 다리는 굵어서 치마 사기가 애매했는데 평소에 s입지만 m 입어도 허리가 별로 크지않고 티 넣기에 적당하게 되더라고요..!! 스판있어서 잘 늘어나기도 하고.. 약간 밑쪽이 울긴하지만 다림질만 잘 하면 될것같아요! 쇼핑몰에서 치마 산것 중에서 가장 값도 싸고 질도 좋은 상품 같숩니다...♡ 앞으로도 많이 이용할게요~
jomai**|a목 길이도 적당하고 팔 길이도 적당한거같아용!밤에 추울때 어디에나 걸쳐도 무난한 그런 아이템입니다:)재입고되서 너무너무너무 기분이 좋아용 이런 아이템 계속 올려주세요! 아 그리고 재입고에도 불구하고 빠르게 배송 와서 좋았어용 잘입을게요!!
ssu26**|색상이 무난해서 어떤 하의랑도 매치하기 쉬운 것 같아요 허리부분 통이 조금 크네요 편안하게 박시하게 자주 입게 될 것 같아요ㅎㅎ 너무 여성스러운 제품이 아니라서 동생도 탐내네요 가격도 저렴하고 그런데 고고싱여름제품이 대체로 두께가조금있는것 같아요...
mina04**|원피스가 이뻐서 샀는데살좀 빼고 입으려구요 ㅠㅠㅠㅠㅠㅠ원피스는 진짜 여성여성하고 이뻐요 :)
mina04**|인기많은상품인만큼 배송이 몇일 걸렸어요근데 오늘 입어봤는데 사진하고 똑같고소재도 제가 딱맘에 드네요! 디자인도 좋아요앞으로도 자주 입을것 같아요 ㅎㅎ 짱!!
ssu26**|제품이 정말 마음에들어요 재질도좋구 부드러운면이 몸을감싸어 편안합니다 심플한디자인이라 튀지도않고 그냥청바지와무난하게잘어울리는거같아서 정말좋네요 다만아쉬운게있다면 통풍이잘안되서 땀이 나네요 한여름말고 딱지금입으면좋겠네요 ~
hran**|목 부분이 헐거분(?)하지 않아서 좋아용~ㅎㅎ옷은 얇은데 비치지 않는다는게 정말 짱!!물론 자세히 보면 정말 정말 아주 쪼끔은 보여요~그냥 안 비친다고 생각하시면 될 것 같네요다만 X 부분 마감처리가 너무 지저분 했어요ㅠㅠ저는 무슨 옷이 뒤집혀서 온 줄 알았다는그래도 싼 가격에 넘 이쁜 옷 득템했네요~ 감사해요^^
ssu26**|검은색으로 구매했는데 쫀쫀하고 너무편해요 딱잡아주고 하비라서 사진올리고싶었지만 다른분들의 눈을위해..ㅎㅎ 색상도 완전검은색이예요 편한바지사고싶어구매했는데 가격도괜찮고 허리가 줄로되어있으면 금방 빠지고 끼우고 되게번거로웠는데 줄이없어너무편해요 이뻐요!!!
wnvnfma1**|우선 몸에 착 감기는 재질이여서 어깨선이부해보이지 않아요.원피스 색상은 검정색이고 하얀꽃으로 무늬가 있어요.넥이 중간에 브이모양으로 파여있어서여성스러움 강조되는 것 같고끈으로 허리를 묶어서 원피스 기장도조절 가능해요.가격도 저렴하고 시원한 소재이기때문에여름에도 단품으로 입을 수 있을 것 같아요!!추천합니다~~
minhee93**|이뻐요 잘 입겠습니다
minhee93**|조금 작게 나온거 아닌가 싶기도해요ㅠㅠㅠ
minhee93**|이쁘네요 잘입겠습니다~
minjung33**|포토후기 2등 누구나하나씩은소장하고있는기본템ㅎㅎㅎ전에입던셔츠가너무오래돼서 버리고 새로사려다가 고고싱에서구매하게됬어요~가오리핏에 살랑살랑거리는재질이라 밖에서바람불면여리여리st속옷이약간비치긴하지만하얀셔츠라 안에 이너챙겨입는건 어짜피 필수이기때문에 감안하고입어야죠ㅎㅎㅎ날씨쌀쌀하고추울땐 코팅스키니랑, 그리고 요즘같이 아침저녁으론쌀쌀하고 낮엔 후덥지근한날씨에는 모델언니처럼입어주면 딱좋을것같네요ㅎㅎ약간아쉬운점이있다면 단추채우는부분이 마감처리가 제대로되지않아서인지 단추를잠구고푸를때 실이걸리네요..ㅠㅠ
qortnq**|아이보리가 갖고싶었는데 ㅠㅠ ㅠㅠ품절이네용 입고예정도 없고핑크로 주문했어요 ㅋㅋㅋㅋㅋ배송은 어제주문햌슨ㄴ데 오늘와서완전빨랐구요가디건에 주머니만 있었으면 정말 좋았을거같ㅇ아요색깔이랑 핏은 다 맘에 듭니당 ㅠㅠ예뻐요
kdoo**|잠옷으로 입을려고 샀는데 바지가 좀...그래도 잠옷으로 입고있어요ㅎㅎㅎ
kdoo**|두개 다 샀는데ㅋㅋ 이뻐요!!!ㅎㅎㅎ
kdoo**|옷 괜찮아요!! 사이트에 올라오자마자 주문했는데 이제서야 후기를 쓰네요!! 이뻐서 두색상 다샀어요!!!옷 강추예요
qortnq**|포토후기 1등이욥 ㅋㅋㅋㅋㅋㅋ어제 오전에주문했는데 오늘 왔어요 ㅋㅋㅋㅋ배송 완전 빠르구 ㅠㅠㅠ치마 정말 잘늘어나요 신축성 완전좋습니다 그래서 사이즈가 좀 작아보였는데입으니까 불편한감은 없네용 편하고좋습니당색깔두이뻐요
dbrud**|저번주 금요일날 무료배송으로 치명적인 기본셔츠를 사서 오늘 입어봤는데 그냥 맨투맨을 입은 상태로 걸쳐봤는 데도 좀 헐렁헐렁하더라구요~ 박시한 옷을 좋아해서 저는 만족이구요 근데 단추잠그는 구멍이 살짝 처리가 좀 덜된 것 같아서 아쉽네요ㅠㅠ 하지만 봄,여름,가을에 입기 딱 괜찮은 재질인 것 같네요 그리고 잘 구겨지는 재질인게 정말 아쉽네요ㅠㅠ 하지만 저는 이 가격에 이 퀼리티면 만족입니다!!
dbsrud67**|티두꼐도 좋고 맘에들고심플하게꾸밀수있어서좋다.
dbsrud67**|뒤에지퍼가 불편했지만너무맘에들억서좋다.
dbsrud67**|팔길이가적당했지만 티길이가 너무길다
boo**|엄마가 보더니 신발 편할거 같다고 하나 주문해달라구 하셔서 삿는데 한번 신어봣더니 신발이 되게 푹신푹신하고 편하더라구요~엄마도 편하다고 좋아하시고!평소에 225신는데 이거는 사아아아아알짝 크게 나온거 같아요!덧신신고 신으면 딱 맞을거 같기도 하고..암튼 신발이 되게 귀엽고 편해요~!!
dbsrud67**|너무짧아서 입기가곤란했다.그래도가격이싸고이뻐서좋았다
boo**|후기가 늦엇어요ㅠㅠ...옷은 배송이 엄청 빨리 왔는데 후기남기는걸 까묵었네여;아이보리랑 그레이 시켯는데 옷이 얇지도 않고 그렇다고 막 두껍거나 그런것도 아니여서 좋아요!비침도 없구요~옷 자체가 박시해서 느므 졓음..길이는 생각보다 많이 안길더라구요ㅋㅋ목도 늘어지거나 그럴거 같지도 않고..졓~아요~
p9612**|항상 기본흰셔츠하나사야지 생각만하다가 구매했는데 재질도 부드럽고 박시해서 무난히 기본적으로 입을 수있는것같아서 좋아요
p9612**|배송은 2틀만에 왔구요 옷두께도 얇지도두껍지도않고 딱 적당해서 좋아요!옷도 이뻐요~
p9612**|배송은 2틀만에 와서 빨랐어요!오자마자 입어봣는데 좀 짧긴하지만 되게 편하고 무난해서 잘 입을수있을것같아요
tn75**|넥도 좋고 재질도 너무 좋아요~~~~이건 또 살 예정입니다고고싱은 베이직 라인이 정말 이네요 ㅎ
tn75**|심각한 하비라 생각되서 L샀는데 너무 커요ㅠㅠM살껄 후회했습니다ㅠㅠ그치만 면 재질이 제가 딱 찾던 재질이네요 ㅎㅎ 린넨은 아니면서 마도 아닌 그 중간의 시원한 면단 ㅋㅋㅋㅋㅋ스판기도있어서 활동하기 편해요~저는 너무 길어서 조금 잘라서 수선해서 입었습니다 ㅎ
minjung33**|포토후기2등전에 고고싱에서 비슷한 린넨숏팬츠 구했었는데 너무 짧아서 불편하더라구요ㅠㅠ근데 그제품에서 길이만 더 길어져서 나온게 딱 요거인거같아서 바로 구매했습니다!! 역시 시원한재질에 길이감도 딱좋구요ㅋㅋㅋㅋ그레이랑 네이비 두가지 구매하길 잘한듯!!!!!다른쇼핑몰에서 린넨재질잘못사면 속옷비치던데 이건 전혀안비치구요가격도 너무저렴하고 맘에드네요! 내구성은 더 입어봐야알겠지만 재질도 괜찮아보이구 오래갈것같아요~
aab86**|색도 이뿌고 크기도 크기도 작지도 않게 맞아서 좋아요 청치마랑 같이 입으면 이쁠꺼 같아요
aab86**|색도 이쁘고 크기도 잘맞아서 좋아요ㅎㅎㅎㅎ
gksqhaks**|팔부분을가려줘서 날씬해보이고 앞에트임때문에 밋밋함이 없고 세련되보여요.
jane2**|가벼운건참조은데ㅡㅡ보풀들 먼지들너무심하네영ㅡㅡ 게다가 검은물까지 들면 어캐여ㅡㅡ 손톱, 옷, 책, 이어폰, 폰케이스 오만데 물이안든곳이 없네여ㅡㅡ 진짜다른분들 후기읽어보고 샀어야햇는데 후회중ㅜㅜ 가볍고디자인만 맘에들지.. 진짜어캥ㅜㅜ
minjung33**|분홍색 구매했구요! 봄느낌이랄까...딱!벛꽃색이에요!좀더빨리구매할껄ㅠ.ㅠ키가 좀 큰편이라 약간...크롭인듯크롭아닌..기장이되어버렸지만ㅋㅋㅋㅋ사진처럼 테니스스커트안에입으면 커버가되구요 테니스스커트말고 그냥 연청스키니에 코디해도 예쁘네요~분홍색 색감이 정말 예뻐서 진청이든 연청이든 어디에도 잘어울려요!소재도 부들부들 얇은재질도 아니어서 목이 늘어나거나 그러지는 않을 것 같구요요즘같이 아침저녁으로 쌀쌀할때 얇은아우터챙겨서 입기좋네요~ 항상우중충한색만입고다니다가 요고입고가니까 주변에서 잘어울린다고ㅋㅋㅋㅋㅋ☞☜이정도퀄리티라면 가격도 저렴한편이네요! 추천합니다~
jane2**|작고 가벼운가방을 진짜 찾고있었습니다!^^ 취준생이라서 면접용가방으로도 필요했는데 제가원하는 모든조건을 갖춘가방이 여기있네요!!!~)^^ 검은색을 샀는데 어떤옷이든 무난하게 다 잘어울려서 너무좋아요! 게다가 가격도매우저렴!!!>_< 감사합니다.
tre31**|포토후기 1등이에요그레이 구매했구요 생각보다 더운 재질이네요많이 크기도 하구더위 많이타는 사람들은 한여름에 못입을거같아요지금 날씨에 입기 적당한거 같아요키가 큰데도 기장이 엉덩이 덮어요어쨋든 만족합니다 맘에들어요 많이파세요~
rudal63**|옷이름 그대루롱하고 박시한티생각보다 더 박시해서 놀랏지만박시하게 입으려고 구매한티셔츠이기에 만족합니다.옷재질도 너무 얇지않은 재가 찾던원단에 레깅스에입으면 딱좋은길이감이엿어요.소매부분이 약간넓어서 모델언니처럼살짝 접어입으면 딱좋은것같아요.
rudal63**|밴딩즈 슬랙스 후기.허리 부분이 밴딩으로 되어잇어서마음에들어 구매하게되엇는데,프리사이즈여서 그런지 엉덩이쪽이슬랙스답게 살짝큰것같아서아쉬운감이 잇엇지만 그래도가격이 저렴하니까 감사한 마음으로입고다니고 잇습니다ㅋㅋ앞으로 이쁘고 저렴한옷 많이 올려주세요:)
sse74**|글래머러스하게 표현될 수 있도록 촥 이쁘게 핏되구요 저는 두가지색상 다 주문했는데 아직 아이보리는 못받아봤어요입금한지 10일이 지났는데 영 답답하네요 계속 입고지연중이라고만 알려주시고.. 빨리받아보고싶어요 소재도 좋고 이뻐요
sse74**|날씬 66 사이즈 입는데 이 상품 작은사이즈도 이쁘게 맞아요루즈하게 나온것 같아요스커트랑 매치하기도 좋고 스키니랑 매치도 괜찮구 슬랙스랑도 잘 매치되고 어디에나 편하게 입을수있는 스탈이에요 시원한 소재이구 저렴하게 잘샀아용^^^
whdnjsgml03**|화이트 후기~~~~맘에드는거같네요~~근데 상품이 ... 배송이 너무느렷어요 이렇게 늦게 받아본 적은 살면서 처음이네요 입고 지연됫다고 하지만,, 두달이상이 걸리네요 ... 그래도 오긴왓으니까 잘입을게요...~~ 고고싱 파이팅~~
tn75**|이거 완전 맘에듭니다!! 다른것들과 달리 넥도 튼튼하고여!! 면 재질도 괜찮아요~~~~~~~~~ㅋㅋ 그치만 전체적인 기장이 긴편이네요ㅠㅠ 팔은 제 키에서 8.9부식으로 입는다고 보시면 되요 ㅋㅋㅋㅋㅋㅋㅋ이건 또 살 예정이랍니당 ㅎㅎ
gpas**|벚꽃보러갈때 입었는데 사진찍을때 화사해 보이고 이뻣음ㅋㅋㅋ봄에는 역시 분홍!다른 색깔 자켓도 사고싶음
tn75**|제가 여즘 살이쪄서 어깨깡패가되서 핏이 안예뻐요....ㅋㅋㅋㅋㅋㅋㅋㅋㅋ이건 색깔 진짜 제가찾던 유니크한 핑크여서 예쁘구여기장도 길지앉고 딱 적당합니당 ㅎㅎ이것도 가격대비 보통 입을만 해요 넥이 늘어날까 걱정인것 빼고는 면 소재도 튼튼하니 괜찮네요~
chlwjdal1**|재질은 좀 두껍지만 그래도 오부라서 이쁘고 겨드랑이 안보여서 좋아요~~~ 색은 이쁘고 재질도 나름좋아서 많이 입을수 있을꺼 같아요!!하핫 이쁜옷 감사합니다~~~~~ㅎㅎㅎ^^**
chlwjdal1**|길이감도좋고 멜빵에 길이조절 단추가 있어서 길이를 쉽게 조절할수잇어요~ 제키에 길이가 딱~!!!!!!!!!!!맞는거같아서 좋고 재질도 얇아서 여름에 입기 좋른거 같아요~ㅎ 이쁜옷 감사합니다~~~!!ㅎㅎㅎ
chlwjdal1**|약간의 큰감이 없지않아 있지만 그래도ㅠ 거슴쪽에 트임이 너무 섹시하고 쇠골이 보여서 이쁜거같아요!!!!! 이쁜구매하세요~~~ㅎㅎㅎ
wonju04**|입기전에는 약간 소복같고 환자복같은 느낌인데막상 입으면 예뻐요 많이 안파져서 적당히 파여서이쁘고 칠부라 이쁘고소재도 여름까지 쭉 입을수있어서 좋아요얇아서 시원할듯바람이 잘들어와서 ㅎㅎ한여름에도 안더울거 같고근데 옷이 잘 뜯긴다고해야하나 어디 잘 거려서 실밥이 잘생기네요
wonju04**|루씨거즈남방거즈소재? 라서 여름에 입기 좋을듯소매를 안걷는거 보다는 걷어서 입는게 더이뻐요시원해서 여름에 입어도 괜찮을것같고소재가그래서그런지 구김이 많이 가는편옷도 얇고 핏도예쁘고 바지에 넣어서 입으면 에뻐요 슬랙스나 청바지에!흐물흐물하지만 오ㅓㅅ은 이뻐요
ssu26**|검은색으로 샀는데요 조금 두꺼워요... 그런데 기능티같은 재질이예요 여름에 입으면 조금 더울 것 같아요..그래도 물빠짐은 없을 것 같아서 다행입니다 진짜 더운 여름때는 못 입을 것 같네요 목이 늘어 날 것 같지도 않아요 무난하니 잘입겠습니다 지금 계절하고 맞을 것 같아요
wonju04**|브이넥이 많이 파지지않아서 좋아요원래 검정살려고 했었는데주문을 잘못해서..제가 모르고 차콜로주문해가지고차콜왔는데 차콜도 이뻐서 그냥입어요 ㅎㅎ다음에 다른옷살때 블랙도 더 살려고요싼가격이라 오싱 그렇테 탄탄하진않은데한철입기 딱 좋은듯
ssu26**|진짜 생각 한 만큼 너무 이뻐요 ㅠㅠㅠ 하 진짜 보는 사람들마다  어디서 샀냐고 물어봐요 케이스 잘 분리 되지 않는 것이랑 떨어지면 깨질 것 같아요 그래도 다른 색상도 다 사고싶어요 존예... 이런 것 감안하시고 구입하시면 될 것 같아요!
tn75**|옷 재질 자체는 가격대비 보통이구요 넥 부분이 ㅅㅔ탁한두번하면 늘어날거같아서 걱정되네요ㅠㅠ기장은 길지도 않고 짧지도 않고 보통이구여넥 부분 빼고는 다 맘에 듭니다~~~
dlwngus9**|배송지연이라고 되있어서 기대안했는데 배송이 엄청 빨리왔어요!! 네이비랑 블랙이랑 화이트 샀는데 생각보다 사이즈가 큰뎅.. 화이트라 엄청 부해보이기까지하네여ㅠㅠㅠㅠ 그래도 화이트빼고 네이비랑 블랙은 입을만해요!!! 역시 질은 좋고 부드러워용ㅎㅎ
emily45**|없어보여요..그냥중고등학생들이가볍게들긴좋겟네요그리고생각보다작아거 공책같은거구겨서넣어야되요실용성도업구...디자인자체는괜찮은데어깨에매면 붕떠요 ㅋㅋㅋㅋ그래서업어보이네요...끈조절도해보고 물건도 조금담아도 허리에서붕떠서 ㅋㅋㅋ 반품허고싶지만 이미 풀러버려서걍 내둬요
ssu26**|내가 입어서 그런가 옷이 그런건가 입으니까 너무 이상해요.. 보는 거랑 너무 다르고 옷이 얇아 지금 입기에는 좋지만 반품하려다가 그냥 동생 주기로 하고 동생이 입고 있어요 남자가 입어도 무난하게 괜찮네요 후기가 너무 좋아 구입했더니 후기랑은 조금 다른 것 같아요
phj14**|예뻐요!!!네이비 샀는데 하늘하늘 지금부터 여름까지 더울떄입어도 시원하고 좋을것같아요!네이비라 색도 시원해보이고 만족합니다~
namu**|배송은 이틀? 정도 걸렸구요 저번에 회색주문하고 기장이나 품이나 박시한게 맘에들어서기본으로 흰색 샀어요기본티는 여기서 다 사게되네요재질 좋은반면 저렴해서 자꾸 찾게 됩니다.어디 겹쳐 입기 좋고 넉넉하게 입기 좋고 놀러가서 입었는데 엉덩이 가리니깐 편했어요
namu**|배송은 살짝 느렸구요 무지무지하게 얇은거 알고도 샀어요블루 살까 네이비살까 하다가 네이비로 구매했어요 색은 모니터 색상처럼 살짝 어두워요 고급스런 네이비에요 단점은 진짜 치마 속치마 덧댄 재질처럼 얇지만 시원해서 여름 한철입기 좋아요~!넘 얇은게 흠이지만 나중에 재질 두껍게 바꿔서 한번 업뎃해주세요 금액올라도 살사람들 많을것같아요사이즈도 알맞게 맞아요
slejd**|다 만족하는데 키가 작은 저에게는 원피스 기장이 길어서 수선집에 맡길려고 해요키가 작은건 제 탓이니깐 별 깍지는 않을게요키 작으신 분들은 참고하세요
slejd**|진짜 여리여리한 니트에요~~어떠한 옷에 다 어울리고일교차 심한 날에는 위에 이거 하나만 입고 나가요
chfhrtkdle**|검정색이랑 아이보리색 두가지 주문했는데제가어깨가 좀 넓은편이라서 걱정을했는데이쁘게잘맞아서좋아요! 아 그리구 아이보리색은..뭐가좀묻어서왔더라구요 이물질같은데ㅠㅠ그래도 싼맛에 입으려고주문한거라서 그냥입으려구요!
pchpch01**|옷을 딱 봤는데!!와....진심 너무 이쁜거에요일단 디자인은 통과라하고 입어보는데.....좀 작아서ㅎㅎㅎ교환했어요!!!!!!!!!너무너무좋아요. 고고싱 개인적으로 너무 옷들이 이쁘고 가격대도 낮아서 부담없이 살수있는것같아요이번에산 봉우리 청스커트도 가격대도 낮은데 퀄리티가 굿이네옇ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ
tjsdud96**|여름티가 머 다 그렇다지만 예는 목이 있는 있는 아이여서 그런지미싱으로 목 작업 하시면서 많이 늘어난 것 같기도
god25**|전부터 구매하고싶었던 건데 네이비색이랑 블랙이 품절이라 ㅠㅠ긍데 입어보니까 무난하고 좋아여!가슴이 없는데도 조금 잡아주는 느낌도 있구 ㅎㅎ문제는 처음 도착했을때 어깨끈이 끊어질랑 말랑해서 좀.....고고싱에서 많이 주문하지만 이런적은 처음이라 당황스럽긴했지만꼬매면되니까 걍 꼬맸어요 ㅋㅋㅋㅋㅋ아쉬운건 다른색상도 사고싶은데 그럴수가 없어서 ㅠㅠ다른곳은 뷔스티에가 너무 비싸서 엄두가 안났거든요고고싱은 저렴해서 좋았는데 힝.... 색상별로 사고싶어도 이제는 살 수가 없어서 슬프네요 ㅠㅠ
tjsdud96**|기대가 너무 컸나 ?? 쪼금 아주아주 쬐금 실망
god25**|그레이색상 구매했구요 배송은 다른상품들보다 늦었어요ㅎㅎ어제 날씨가 좀 쌀쌀하길래 입었는데 너무 이뻐요!여리여리해보이는것같공ㅋㅋㅋ 은근 보일듯말듯 하고 좋아여흰색색상도 구입하고싶지만 날씨가 더워지니까....가을에 구매하려구요! 없으면 할 수없지만...
apap13**|키 160이상이신분들보세요 160넘어가는순간 원피스가아닙니다 레깅스나 반바지나 바지와 같이입으셔야해요 전 165인데 엉덩이 다보여요 그래서 친구줬습니다 재질은 천?같은거? 라서 구김이 잘 생길거같네요 참이뻤는데 기장이안맞다니 왓더포크
apap13**|블랙 아름다워요 ♥ 다림질잘해서 입으면 더욱아름다울듯요♥ 득템!
apap13**|네이비후기^^ 저는 고고싱에서 같이구매한 살랑살랑스커트랑 같이입어봤는데요 너무이뻐요 ㅠㅠ 좋은아이 구매한거같아서 기분좋아요:)♥ 신장에따라 기장은 조금 많이 길수있으니 주의하세용^o^ 저는 엉덩이덮어요!ㅎㅎ 어쨌든 득템~
dudtoddld**|사이즈 되게 크고 넉넉하고 좋아요 !! 색깔도 이쁘고 브이넥에 하얀색이 있어서 시원해보이구요 ㅎㅎ
apap13**|베이지색! 기장알려드려요!! 일단 제키가 165인데 엉덩이를 다덮구요 고고싱에서 함께구매한 살랑살랑스커트랑 같이입어봤는데 밑에쪼꼼밖에안보이죠?ㅠㅠ 하지만 넣어서입으니 너무너무예쁘네용♥^-^ 기장은 조금길어도 넣어서입으면 청바지에도 잘어울릴듯해요 득템득템~
apap13**|하늘하늘하고 너무이뻐요~ 자주입을거같아요 감사합니다^^♥
dusdnsla2**|하늘하늘 한 느낌이고 괜찮았어요~~ 되게 걱정 많이 했는데 예쁘더라구용!! 이번에 온 옷 중에 제일 맘에 들었어요!!여름에 입기 딱 좋은 두께에요~~ 가격도 싸다보니 하나 사는거 나쁘지 않은 것 같아요!! 빨다가 늘어날까 걱정도 되는데 지금 당장은 맘에 들어요!
dusdnsla2**|진짜 그냥 긴팔티에요 ㅠㅠ..조금 맨투맨 느낌이나 그런ㄱ느낌 나길 바랬는데검은색 시켰는데 입으니깐 뭔가.. 되게 그냥 티입은 기분?살짝 겨울에 옷 안에 입은 내복같은 기분도 들더라구요 ㅠㅠ살빼서 좀 커질 때 입으려고요!! 잘입겠습니다 ~~
gmldud60**|약간 통큰감이잇는데 반바지에 넣어입으니까 이쁘네요ㅎㅎ이쁘게 잘입을게요!!
tjn020**|하체가 살이있는편이라 위쪽을 루즈하게 자주 입는데 너무 커보이지도않고 마음에 들엇어요!
gmldud60**|처음왓을때 목부분이 약간 늘어나잇다고 생각햇는데입으니까 약간 심하네요 색깔이랑 디자인은 정말이쁜데 아쉬워요
dusdnsla2**|이거 받고 살짝 실망했어요 ㅠㅠ 색깔도 약간 그렇고 제가 원하던거랑 너무 달라서 실망했어요 ㅠㅠㅍ이음선이 없어서 그런지 팔들으면 안에 옷까지 들리는 느낌..근데 뭐 가격대비 괜찮아요~~ 집 앞이나 편안하게 나갈 때 자주 입을려구용 나쁘진않아요~
dusdnsla2**|너무 꽉 조여요 ㅠㅠ 근데 어 면이나 그런거는 나쁘지않아요고고싱에서 가끔 시키면 냄새나고 그랬는데 냄새같은것도 하나도 안나고 괜찮네요!!뭔가 진짜 깨끗한 느낌? 속옷이나 안에 입는 옷들은 좀 민감한데 이거는 그래도 포장도 그렇고 괜찮네요~~!
dusdnsla2**|어.. 일단 살을 뺴야 될 것 같아요 ㅠㅠ너무 꽉 조여서 놀랐어요ㅜㅜ.. 되게 작은 느낌..입으면서 계속 늘어나겠죠...? 44인 사람들이 입으면 되게 괜찮을 것 같아요!! 면도 그렇고 그래도 뭐 나시 한 장은 있는게 편하니깐 나쁘지않아요!
dusdnsla2**|비출 것 같은데 안 비춥니다!!조금 실망한게 있다면 위에 고고 뭐가 붙어있는게 조금신경 쓰이네요 ㅠㅜㅠ 살짝.. 뭔가 어디서 산지 알 것 같은 느낌../ㅋㅋ그래도 가격에 비해 괜찮은 것 같아요!!두께도 여름에 입기 딱 좋을 것 같네요!!!
rladkgh12**|바지가 약간 까끌까끌하긴한데 나름 괜찬은거 가타요
rladkgh12**|이거 색깔 짱이뻐용!!!
apap13**|레알루즈가디건 아이보리는 사랑이에요ㅠㅠㅠ 여러분꼭사세요 이걸왜지금봤을까요 팔길이가 손끝을 덮는기장인데 두번접으니까 포인트도 되고 아방해보여서 사랑스러워보여용 (물론가디건이♥) 165인데 엉덩이중간까지덮어요! 이쁜아이 득템해서 기분짱!♥
saa13**|면이좀...구김도있고 천이 별로인것빼고는 핏도좋고 가볍고 가격대비 좋았아요
apap13**|멜빵스커트 너무 예뻐요 고고싱에서 산 가디건이랑 같이입으니 잘어울리고 더예뻐용 길이도 딱이구 다리사이 비치지도않구 ㅎㅎ 좋은옷 싸게구입한거같아서 기분짱짱!! 꼭사세요~ 필수아이템+ㅇ+♥
hsy21**|이런스타일 너무 찾았는데 다른곳은 비싸더라구요 ㅋ핏도 좋구요~다만 멜빵이좀 길어서 길이를좀 줄여야할거같아요~그거외엔 귀여워보이고 좋으네요 ㅎ
hsy21**|블루 색상주문했어요~키가작아서 그런지 길이감은 좀있어서 오늘 수선하려구요가격대비 면도좋고 핏도좋으네요^^
a9lo**|검은색으로 삿는데 완전 귀여워용 검은색으로 삿는데 완잔 귀여워용 검은색으로 삿는데 완전 귀여워용 검은색으로 삿ㄴㄴ뎅 완전귀여워용
a9lo**|옷이 스펀지 같다고 해야되낰ㅋㅋㅋ암튼 소재가 되게 신기해용쫌 땃힐즐 알앗는데 전혀ㅠㅠㅠ그래도 디자인은예뻐용
vldzm9**|허리끈이 필수인 원피스인거 같아요 풀고입으면 임부복같은데 허리끈 묶고입으면 그렇게 예쁠수가 없어요 다들 진짜 잘샀다고 너무 예쁘다고들 하네요 소재도 하늘거려서 여름까지 무난히 입을수있을꺼 같고 아주 맘에들어요
vldzm9**|이거 진짜 예뻐요 16000원인데 싼티도 안나고 귀여운게 진짜 잘산거 같아요!
vldzm9**|길이감이 조금 짧긴한데 9000원짜리 면티 치고 소재가 굉장히 좋더라구요 짱짱하고 근데 목부분은 잘늘어날것같아요 그래도 여기저기 막 입기 좋은거 같아요
