hsyk1**|좋아요! 허리가 크다고 해서 좀 걱정했는데 저한텐 딱맞고 좋네요 ㅋㅋㅋ 얇고 편해요!
cca8**|생각한것보다 면소재가 좋더라구요세탁해도 늘어남이 적을것 같아요저는 블랙을 삿는데 아무바지에 맞춰입기도 편해요근데 저는 택배받고 면소재가좋아서 너무좋았는데 옷에 뭐가 뭍었더라구요..?그것만 빼면 너무너무 괜찮습니다!!
hy07**|배송도 빠르고 지금날씨에 입니 딱 좋아요~~~~~~
jeongh0**|허리,허벅지,기장 다 좋아요~ 잘 맞아요ㅎㅎ바지도 색도 예쁘구요~한가지 아쉬운 것은....냄새가 너무 나요ㅠㅠ한번 빨았는데도; 너무 많이 빨면 색 빠질까봐그냥 널어놓고있어요..괜찮아지겠죠ㅎ암튼 예쁘고 배송도 생각보다 빠르고..만족해요^^
khs15**|별로기대안하고있었는데완전맘에들어요!!속에도안비춰서좋구요밑에치마랑입었는데맘에듭니다 ㅎㅎ 나중에주문할때다른색상도구매해야겠어요여름에무난하게입을수있을것같아요 근데목부분이조금늘어져있어서걱정되긴하는데가격대비해서좋아요추천이요~~~~
dkdlfjqm**|보통 테니스 치마가 너무 비싸서 엄두가안났는데 여러 쇼핑몰을 돌아다니다가 적절한가격이길래 봤더니 속치마??까지 있길래 제가찾던 거길래 시켜봤는데 진짜 너무좋았어요.ㅎㅎ 테니스치마자체가 워낙짧게 나오는거라서 걱정했는데 속바지같은게 있어서 좋았습니다!!
jeongh0**|m주문했다가 s로바꿨는데.....괜히 바꿨어요ㅠㅠ허리잠기긴하는데 진짜 터질것같음..ㅎㅎ그래서 156/42인 동생한테 줬어요치마는 색도 진짜 예쁘고 안에 바지도 있어서아무때나 편히 입어도될것같아서 좋아요~다른색m으로 하나 더 주문해야겠어요..ㅠ
dkdlfjqm**|기본아이템인 검정색치마를 사고싶었는데 제 옷장속에 있는 치마들은 모두 다 기장들이 짧기도하고 제가 신체적인 체형이 엉덩이에 살이 많아서 남들보다 더 치마가 올라가 평소에 입던 치마들은 많이 조심을 해야했는데 여기치마는 저를 많이 안심시켜줬어요!!
dmsdud87**|가격에 비해서 너무너무 질이 좋아요~ 스판기도 있어서 너무 입기 편해요 여러개 구입하는게 더 나을것같네요~
qlllwll**|흰색살까 검정살까 고민하다가 다른거 흰색사고 이거 검정색 삿어요 ㅎㅎ 제가 평소에 스키니 27~28 입는데 이거 사이즈 m으로 사니깐 허리는 약간 큰데 허벅지나 엉덩이 다른데는 사이즈가 딱 좋아요 하이웨스트라서 다리도 길어보여서 이뻐요!!
soso01**|원피스 길이 성공하기 힘든데 이거는 길이도 딱좋고 너무짧지도 않ㄴㅔ요 예뻐요ㅎ
sally9**|조금 두껍긴한데 가을에 잘 입을거같아요
wpdls1**|생각했던 것 보다 이뻐요! 잘입을께요~
sally9**|잘 어울려요
sally9**|데일리로 딱
sally9**|걸치기에 딱 좋네요
