150063834**|키가 작은데도 길이가 조금 짧긴 하지만 안에 검은 반바지 입고 입으면 딱 이쁠것같아요 !!!! 이 가격에 이쁜 옷 살 수 있어서 넘무 좋습니다 ㅠ.ㅠ 고고싱 자주 올게욥 ♥️♥️
kty13**|4900원 반팔티치고는 엄청 엄청 좋아요 진심 이건 대박템이다싶을 정도예요 체육복 위에 입어도 좋고 사복 위에 입어도 매치가 잘 어울려요 진짜 디자인도 너무 예쁘고 품질도 엄청 좋아요 4900원이라는 가격에 이런 티셔츠를 살 수 있다는 게 진심 나 자신 너무 행운아,,, 여러분 꼭 사세요 ㅇ건 고민할 문제가 아닙니다 저 믿고 사십쇼 ㅈ정말 좋습니다 짱짱 안 사면 제가 한 벌 더 사죠 머,,,
susiej**|눈으로 보는 것 보다 착용한게 더 예뻐요~ 캐주얼한 옷에도 안어색하게 잘 어울리고 치마 입고 착용해도 잘 어울려요!!
yiy04**|너무 이쁘고 핑크 하늘 색조합이 잘 맞아서 더욱 더 좋았습니다다음에는 노랑색으로 나오면 다시 구입하고 싶네요
yiy04**|레옹!제가 제일 좋아하는 영화 주인공이 여서 샀는데 너무너무 그림이랑 색이 예쁘게 나와서 좋았습니다
yiy04**|수학여행 갈 때 입을려고 샀는데 예뻐서 지금도 입고있습니다사이즈가 하나 밖에 없어서 많이 실망했어요ㅜㅜ
yiy04**|노란색을 시켰는데 갈색 줄무늬가 나와서 색 매치도 잘맞고 흑청이랑 같이 입으면 예쁘더라구요나중에 가을쯤 되서 긴팔로 나오면 한번 더 구매할꺼에요
yiy04**|색깔도 예쁘고 그림도 예쁘고 좀 커서 아쉽네요ㅜㅜ티 길이를 좀 짧게 해주시면 좋겠습니다!!
yiy04**|220이 225 시켰는데 적당히 발이 남아서 좋았어요굽도 좀 높아서 좋았습니다깨끗하게 와서 더욱 더 좋았습니다
yiy04**|너무너무 예쁘구요 가격에 비해서 제품 제질도 좋아요이런 싸고 예쁜 상품 많이많이 나왔으면 좋겠습니다
teletobi**|니트 자체는 굉장히 보들보들 해요! 옐로우가 쨍한 옐로우 색상이라서 처음에 좀 당황했지만, 청 뷔스티에 원피스랑 같이 코디해서 입으니까 괜찮았어요!
