qwe456wls**|팔 길이가 생각보다 좀 기네요 제 팔이 짧은건지....ㅎ그래도 아주 예뻐요!!맘에듭니다 ㅎㅎㅎㅎ
miro2**|진짜 안이뻐요... 배랑 엉덩이부분 펑퍼짐하고 다리는 안헐렁하니까 본인사이즈보다 무조건 한치수 크게 주면하셔야 맞을듯싶네요 시원하게 입을라고 주문했는데 오히려 불편해서 더워가지고 못입겠어욤 종종아리 핏도 안이쁘고ㅠ 다리길고 마르신분들만 입는거 추천해요
qwert7**|검정색으로 에코백 가지고 싶었는데 딱 깔끔하게 이뻐서 주문했어요.근데 에코백이 생각보다 쪼금 작았어요...제가 가지고 있는 에코백 중에서는 좀 작은펀이에요.그래도 너무 작은건 아니어서 심플하고 귀여워서 이뻐요!자주 가지고 다닐게여
miro2**|티가 생각보다 두껍고 부드러운 재질이 아니예요ㅠㅠㅠ길이도 길어서 여러므로 아쉽네요..
chu3890**|회색티입으면 겨땀때문에.....여름에 항상 꺼려왔었지만 모델분이 입은모습이 너무이뻐서ㅠㅠㅠㅠ 그리고 팔부분이 길고 통이 넓어서 땀이 나도 옷에는 그닥 큰 지장을 줄거 같지 않아서 회색티를 질렀네요... 집에서만 입어보고 밖어서는 안입어봐서 아직 땀났을때의 모습을 모르겠지만..괜찮겠죠???? 어쩄든 이쁜옷 잘입겠습니다~~
shkey09**|핑크색과 고민하다가 무난하게 화이트 구매했습니다!!!정말 편하게 들 수 있는 에코백이 필요했는데 진짜 좋은거 같아용~ 색깔도 무난하고 디자인도 무난하고 가격도 괜찮고 진짜 좋은거 같습니다! 사자마자 들고 나갔습니다~ 지금 핑크색을 하나 더 살까 고민중입니다!! 예뻐요! 만족♡
chu3890**|화이트는 부담스럽고 누래질까봐 차콜샀는데 만족이에요!!나시가 몸에 딱 달라붙어서 몸매 부각되는게 이뻐보이네요...ㅋㅋ 부담스러울때는 가디건 걸쳐주면되고요ㅋㅋ알바하러갈때나 학교갈때 그냥 편하게 입고 다니기 좋아요!!잘입겠습니다
chu3890**|옷이 단추 잠글라는데 안잠겨서 왜그러지하고 보니까 단추구멍이 안뚫려있어요......ㅠㅠㅠ 옷은 예쁜데 거기서 약간 실망이였어요ㅜㅜㅜㅜ 제가 칼로 뚫을려고 했는데 잘안되고 잘못하다가 따른데도 찢어질까봐 그냥 입고 다니고있어요. 옷은 깔끔하니 이뻐요
chu3890**|블랙하고 화이트 두개 샀는데 블랙은 진짜 잘입고 다녀요!!!그냥 가볍게 학교다닐때 입고다니기 딱 좋네요!!그리고 제가 보통 26바지사면 이렇게까지 쪼이진않았는데 이 바지는 따른 바지들보다 더쪼여서 좋았어요!!!완전 스키니의 정석이에요!
chu3890**|게속 날이 덥다가 오늘 비와서  이가디건하고 나갔는데 딱 좋았어요~!!!진짜 사길잘했다 싶었어요ㅋㅋㅋ오늘 처럼 비오늘날에 가볍게 걸쳐주기 좋은것 같아요저는 회색샀는데 색도 무난하고 딱히 흠잡을곳은 없었던것 같네요. 잘 입겠습니다~~`
riny**|요거 보자마자 맘에들어서 구입햇는데직접보니 더 귀엽고 이쁜것 같아요 ~~ 으하핫!!전 소매를 접어서 입어봤는데 ㅋ 접어도 괜찮은듯요ㅋ소재가 시원해서 여름에 시원하게 잘입을 수 있을것같아요!저렴해서 더더더 만족!!
jms**|택배받자마자 입어봤는데 손톱에 청색으로 물들어서ㅋㅋㅋ한번 손빨래하고 입었네요 쫀쫀하긴한데 한치수 크게 주문할걸그랬나바요 귀찮아서 교환안하고 입으려고하는데 그냥..;입고나갔다간 허벅지 실밥 튿어질까봐 괜히불안ㅋㅋㅋㅋㅋ그런일은없겠죠.. 길이가 조금만 더 길었으면 좋겠어요 ㅜㅜ그래도 색이 너무 이뻐서ㅜㅜ 살빼서 더 이쁘게입을게요~!
chu3890**|하늘하늘하고 은근 시스루여서 나시가 비치는게 정말 이뻐요!!처음보자마자 너무 이뻐서 이건 꼭사야겠다고 질렀는데 잘한것같아요...ㅋㅋㅋㅋ일반 흰블라우스와 달리 꽃자수가 들어가있어서 훨씬 더 이쁜것 같아요!!! 잘입고 다니겟습니다
jms**|코디가 잘 될지 모르겠어서 살까말까 고민했는데ㅋㅋ검은색사길 잘한거같아여~~ 그레이 체크 슬랙스랑 코디했는데괜찮았구용 옷 가볍고 시원하네요~~ 길이가 조금 짧은게 아쉬워요 너무 ㅠㅠㅠㅠㅠㅠㅠㅠ
jms**|후기는 처음남겨보네요~~구매하고 며칠전 흰티랑 코디해서 입고출근했었는데다들 이쁘다고하심~~ 무엇보다 멜빵끈 탈부착가능한게장점인거같아요 ㅋㅋ 바지마다 사이즈가 달라서 구매할때고민하다가ㅠㅠ 작은것보단 그래도 여유있는게 나을거같아서L주문했는데 잘한거같아여 ㅋㅋㅋ 허리가 조금 크긴하지만 그래도 이쁘게입으려구용^^*
chu3890**|여름에 나시입거나 크롭티입을때 편할것 같아서 주문했어요~~!!!이건 그냥 편하게 입고다니기 좋은것 같아요.근데 색이 블랙만 있을게아니라 화이트도 있었으면 하는 아쉬움이있네요ㅜㅜㅜ 화이트 있었으면 더 잘팔릴것 같아요~~~ 잘입겠습니다
rladb01**|이제 더워져서 입지는 못하는데 나즁에 빨리 입고싶어요ㅛㅕ 다른쇼핑몰에서 진짜 가격대비 재질좋은듯ㅅ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
