qwe456wls**|팔 길이가 생각보다 좀 기네요 제 팔이 짧은건지....ㅎ그래도 아주 예뻐요!!맘에듭니다 ㅎㅎㅎㅎ
rudckf2**|제가사이즈를발못사사작긴하지만엄청이뻐요 ㅎㅎㅎㅎ
tjdgurtnwl01**|너무이뻐용!!!!!
cdefgh**|제가 검정색을 좋아해서 고민없이 검정으로 주문했는데흰색도 갖고 싶어요!!재질도 맘에들고 배송도 빨리와서 완전 만족했습니다!!어떤 옷이든지 다 잘어울리는 이쁜이 티셔츠에요ㅎㅎ고민하지 않으시고 주문하셔도 될 것 같아요~~~!!!
cdefgh**|사이즈때문에 살까말까 굉장히 많이 고민했어요ㅠ다른 바지들을 살 때 s랑 m이랑 둘다 입어서 입어보고 사지 않으면 사이즈맞추기가 굉장히 힘들었어요근데 그냥 눈딱감고 s로 주문했는데 딱맞아서 완전 만족했습니다!!똑딱이라서 더 편하고 좋아요!!!
cdefgh**|진짜이뻐요ㅜㅜㅜㅠㅠ에스더7부티셔츠를 검정색 사고 싶었는데 품절이라서못사서 엄청 아쉬웠는데 도로시앤 5부티가 비슷한 것같아서 주문했는데 진짜 맘에 쏙 들어요ㅠㅠ면느낌보다 찰랑찰랑 느낌이 나는 것 같아서 좋아요고민하지않으셔도 될 것 같아요~~
wofks12**|고민하다가 슬랙스 처음구입했어요~~짱짱예뻐요. 전부터 고고싱바지는 믿고사는 편이라서 슬랙스도 고고싱꺼 샀는데 역시 ! 배송오고나서 너무마음에들어서 며칠동안 계속 이거만입엇다능ㅋㅋ핏이 진짜 와..good 바람불면 시원하고 아주좋아요><
woohee88**|티셔츠 받으니까 진짜 이뻣어요 친구생일선물로해소 줫는데 너무 탐났어요 ㅎㅎ
woohee88**|이뻐서 제꺼 사고 친구 생일 선물로 하나 사줫어요~~ 친구도 이쁘다규 하네여
bokyung95**|배송이 정말빨라요 2일?정도걸렷구요 무난하게 입기 좋은거같아요!진청 L 구매햇는데 넉넉하게 a라인이 잘나온거같아요!! 일단 처음엔 뻣뻣한데 몇번입고빨다보면 괜찮을거에요.맘에듭니다!
heokyung**|옷 자체가 진짜 예뻐요! 재질도 짱짱!!! 이건 5부바지입고찍었는데 밑에 아무거나 입어도 다 잘어울릴 것 같아요~ 사길 잘했다는 생각드네용♥
ayo**|제가점프수트같은거는좋아하진않는데 고고싱둘러보다가이게너무이쁘고가격도적당해서그냥질렀는데 와우시킨지3일만에 도착하구 진짜로이쁘고 S시켜서혹시작으면 어떻게하나 고민했는데 딱 맞아서 좋았어요진짜 고고싱짱짱♥
sdj43**|색깔 고민 했는데 흰색으로 샀습니다. 심플해보여서 이쁜데 세탁하고나서그런지 원래 그런건지는 모르겠지만 저한테는 아래가 좀 짧네요 ㅜㅜ 근데 배색도 이쁘고 얇을 줄 알았는데 생각보다 두툼해서 좋았어요!! 청바지에 소매접어입으면 짱!
a43230**|스판이좋아서 입으면 편하긴한데 옆에 선 ? 박음질한선이 터질거처럼그래요 근데 진짜 편하긴 너무편해요 주문하실때 한사이즈 크게사셔도 괜찮을듯합니다 발목까지 쫙 줕어서 맘에글어요 ㅎ 멜빵치마사러왓다사 생각나서 후기남깁니다 좋아요 ♥
sdj43**|기본티라 무난하고 괜찮아요. 흰티를 많이입어서 이것 저것 봤는데 너무 글씨만 있는것 보단 적당히 그림도 있어서 좋네요길이가 좀 애매하긴 하지만 너무 긴것 보다는 이게 나은것같아요 플레어 치마랑 입으면 이쁘구요기본아이템으로 강추합니다!!
didgpal**|고고싱에서 시킨거는 저렴하기도하고편안하면서 예뻐요시킨옷들 반만왔는데 다 맘에드네요!!좋은 옷들 많이 올려주세욤 ㅎㅎ
seul5**|전신컷은 없지만 일단 실사는 너무 예뻐요땀이 잘 안 통해서 많이 덥긴 하지만 그래도 디자인이 너무 예쁘고 기장도 적당히 길어서 안으로 넣어 입거나 밖으로 빼서 매치하거나 어떻게 입어도 예쁩니당 굿!!
gototwo**|니트 같은 느낌의 티더라구요 그래도 어디에나 받쳐서 입기 좋고 재질도 부들부들 좋아요ㅎㅎ 고고싱 애용하게 될거같아요><
seul5**|얇은 면이라 더워도 입기 편한 것 같아요 디자인 너무 예쁨!
gototwo**|간편하게 입을수 있고 재질도  넘 좋아요! 주변사람들이 다 이쁘다고 하더라구요ㅎㅎ 여름에 많이 입게 될거 같아요ㅎㅎ
sdj43**|솔직히 큰 기대는 안했었는데 받고보니 정말 좋네요.색상 고민했는데 핑크색으로 사길 잘한것 같아요.모델분 처럼 청바지 흰티에 핑크가디건입으면 꾸민듯 안꾸민듯 러블리하고 딱 좋아요!!환절기나 요즘은 실내에서 에어컨 때문에 추울때 주로 입는데 입을수록 만족감이 느껴지네요^^
cassiopeia**|길이도 적당하고 핏도 예뻐요!
dmsru**|지금모바일인데 사진추가를아무리눌러도 사진을추가할수잇는갤러리같은게 아무것도안나와서사진을올릴수가없어요ㅠㅠㅠㅠㅠㅠ포토후기올려야하는디ㅠㅠㅠㅠㅠㅠㅠ어쨎든타로헨리넥 여리여리해보이고너무이뻣어요디자인!! 애들도다이쁘다하고 꼭사세요~ 적립금주세요!~
zlzlzlgk**|이뻐요!곤색 꽃무늬 치마가 있어서 흰색으로 구매했는데 이쁘네요~~근데 이뻐서 사놓고 보니 위에 입을게 딱히 없네요...ㅋㅋ아 그리고 허리 밴딩이라 진짜 편하고 길이도 많이 안짧아요!다른 후기들 보면 약간 촌스러운거 같다고도 하는데 입는 방법에 따라 다를거 같아요 ㅋㅋㅋ흰색 블라우스나 아주 연한 하늘색 블라우스가 잘 어울릴거 같아요!
zlzlzlgk**|이건 생각보다 벙벙하네요 ㅋㅋㅋ예상 안한건 아닌데 많이 벙벙해서 처음엔 조금 당황했어요그리고 새옷이라 그런가 살짝 쉰냄세도 나고....옷은 이뻐요! 스키니나 짧은바지 다 어울릴것 같고저런 패턴을 좋아해서 잘입고 다닐거 같아요 ㅋㅋㅋ그리고 얇고 벙벙해서 더운날입어도 덥진 않겠네요!그럼 많이 파시고 또 살게요~~~^^
fpahs**|중청으로 s사이즈로 주문했는데 딱맞고 신축성과 길이가좋고 적당했어요ㅎㅎㅎ배송도 빠르고 너무 예쁜거같아요잘입고 다닐께용 ㅎㅎㅎㅎㅎ
ohal**|5월 초에 샀는데...지금입기는 좀 많이 덥지만, 가끔 밤에 입기에는 나름 괜찮은거같아요. 디자인도 괜찮고... 근데 옆으로 가방을 메고다녀서ㅠㅠ벌써 보풀일어났다능ㅠㅠ생각을 못했어요ㅠㅠ 할튼 이쁘고 편해용ㅎㅎ
fpahs**|진청으로 주문했는데 사이즈도 딱맞고 색도 맘에 들었어요~^^ 신축성도 좋고 길이도 적당해요!!! 잘입을께요~ㅎㅎㅎㅎㅎㅎ
ohal**|브이넥이라그런가 생각했던거보다 많이파였긴했는뎅 불편하지않아요
zlzlzlgk**|옷 잘받았어요~ 바지는 고고싱에서밖에 안사는데 항상 성공했는데 이것도 성공이에요! 근데 살이찐건가... 똑같은 사이즌데 약간 낑기는 감이 있네요!다른 후기들도 보고 산건데 통풍이 잘된다고 하던데 그건 모르겠고...ㅎㅎ 다른 스키니에 비해 두껍지는 않고 색도 이쁘네요!저는 블루 블랙 샀는데 진청도 사고 싶네영 ㅋㅋㅋ잘입고 다닐게요~~
juhyeon0**|주문하구 4일?정도 만에 도착한거같아요!월요일쯤 주문해서 금요일에 도착했어요 재질은 아래분들 말씀처럼 우산재질이구요신축성은 전혀없어요! 그래서 입고벗기가 좀 불편해요지퍼도 없공 ....그리고 제상품만 그랬는지 모르겠는데옷 냄새가 아주,..... 심했어요... 머리아플정도로심한 하수구냄새요그래도 옷이 맘에들어서 단독 손빨래했는데 wow검은 물이 아주 쭉쭉빠집니다혹시 모르니 다른분들도 꼭꼭 단독세탁하시길!!!!!옷은 맘에드는데 냄새때문에 번거로워져서 별하나 뺍니다 ~
nyj**|이거 사기 전엔 진짜 그냥 기대없이 엄청 얇겠지 하고 샀는데 하나도 안얇고 잘늘어나겠지 했는데 적당히 늘어나고 약간 쫀쫀한? 여튼 그렇게 퀄리티 떨어지는 옷 전혀 아니에요! 완전 맘에들고 진짜 강추강추!! 지금 입기엔 조금 더울 수도 있는데 저는 이거 맘에 너무 들어서 흰색도 살까 고민중이에요 진짜 너무 이뻐요ㅠㅠㅠ
chj62**|민트색시켰는데 약간 하늘색이 가까워요 옷이 좀 큰편이어서 처음에 당황했지만 그래도 이뻐요. 민트색 시원해보여서 나중에 놀러가서 입으면 딱일거같아요ㅋㅋㅋㅋ고고싱에서 옷산거 한번도 실패해본적 없어요!! 많아파세요~~~~~
chj62**|보통 스프라이트 티는 굉장히 흔한데 이건 흔하지도 않고 날씬해보이는 핏이어서 정말 이뻐요! 재질도 싸구려가 아니라 비싼 재질이어서 다른색들도 구매하고싶은 욕구가 마구마구 생기네요. 상체가 통통한 편인데도 잘맞았어요. 많이파세요~
dms94**|샀던거 중에 제일 기대하고 있던 상품이였는뎅.역시 제일 이뻤어욬ㅋㅋㅋㅋㅋ 딱히 라인잡아주는 부분은 없지만 또 그 나름의 귀여움이 있는듯해욬ㅋㅋㅋ 이거 입고갔더니 주변에서 다들 옷잘샀다고 물어보더라구요 만족합니당 이뻐요!!!
dms94**|뭔가 귀여운 옷인거 같긴한데 생각보다 기장도 짧았고 허벅지통도 조금 좁은거같아요. ..... 환불하려했는데 시기를 놓치는바람에ㅠㅠㅠ그냥 친구한테 선물로 줄까 싶습니당ㅋㅋㅋㅋㅋㅋ 면은 딱 생각하고있던 그런 재질이였어요!!!
eowkdrma25**|음................. 뭔가 배에 살이 쪄서 그런지.. 단추가 잘 안잠깁니다........ㅎ..ㅋㅋㅋㅋㅋㅋㅋㅋㅋ살을 빼야겠군요 바지 자체는 너무 예뻐요~~살빼고 얼른 입으려고 합니다..ㅋㅋㅎ휴ㅠㅠ
eowkdrma25**|원래 기본티를 잘 안입는데.. 한번 사봤어요~ 근데 너무 괜찮아서 아이보리 색으로 하나 더 구입했어요 ~~~~~~이런제품 너무 좋습니다! 고고싱.. 많이 이용중이에요~ ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ감사합니다 ~~~~!~!~!
dms94**|깔끔하고 가벼운데 너무얇아요........ 벨트가 힘이없는 느낌?? 가격은 좋은데 좀 더 비싸더라도 두꺼웠으면 좋겠어용ㅎㅎㅎㅎ
rlagmlwjd**|죠아용ㅎㅎㅎㅎㅎㅎㅎㅎ
rlagmlwjd**|옷이너무이뻐서 너무너무너무너무죠아용ㅎㅎㅎㅎㅎㅎㅎㅎㅎ
dms94**|남색샀어요!! 허벅지가 남달라서 라지로 주문했는데 미듐시켰으면 딱맞게 입을거같았구 기장은 길어서 두번? 세번? 정도 접어입구 벨트매고 입고있습니당ㅋㅋㅋㅋㅋ 핏도 이쁘구 면도 많이 얇아서 여름에도 충분히 입고다니기에 좋을거 같아요
musej**|전 양쪽다 트여져있는건줄 알았는데 한쪽만 트여져있더라고요 다시사진보니 한쪽사진밖에없네요ㅜ 되개 크고 길어요! 넣어서 입는게 제일 이뻐요 팔도길어서 굉장히 편합니당 ㅎㅎ
a82645**|배송은 진짜빨리왔더라구요 2틀만에왔어요차콜로 구매했는데요 생각보다는 좀 그랬지만 글씨도 나름맘에들고 반바지랑 입으면이쁠꺼같아요! 기장은 엉덩이덮는거같아요 무난하고 아무때나입을수 있는거같아요 가격대비 괜찮은거같네요
skfk93**|지금도 입고 있는데 짱편하고 예뻐요~ 완전 캐주얼룩으로 잘 입고 있어요
musej**|소매가엄청엄청 길어서 접어입어야해요~ 접어입는게 귀엽고 두께는쫌있어서 여름엔 못입을거같아요 가격대비 짱좋아요!
ra81**|사실 키가 작아서 받고 입자마자 너무 커서 환불할까 싶었는데 디자인도 너무 이쁘고 핏도 예뻐서 입고있어요 주변사람들도 다 예쁘다고 하네요 ㅎㅎ! 목도 적당히 파여있고 라인도 예뻐요 생각보다 질도 좋고 빨아도 안 늘어날 것 같아서 좋아요 잘입을게요♡
a82645**|배송은 진짜빨리왔구요 가격대비 되게 괜찬아요진짜이쁘구요 모델이 입은거처럼 청바지에입어도이쁘고반바지랑 입어도이뻐요!! 박시해서 핏도이쁘고 이것저것 되게 좋은거같아요  무난해서 어디에다 입어도 잘어울릴거같아요 사이즈도 맞는거같고 이뻐요!
wldms70**|이뻐요ㅠㅠㅠㅠㅠ벗을때 약간 불편하긴한데 흔하지도 않고 좋아요
wldms70**|좀많이파이긴했는데 이뻐요 아무데나 코디하기좋어요
musej**|S사이즈 샀는데 스판기도있고 제가 골반이랑 엉덩이가 없는편이라 걱정했는데 딱맞아서 너무 좋아요~ 청색깔도이뻐요!
wldms70**|정말이뻐요 잘늘어나고 엄청편해요
mikkim**|배송빨라요 ㅎㅎ 안에나시입구입으면되게이쁠거같아요 ㅎㅎ
mikkim**|일단배송이완전빨랏어요!!ㅎㅎ 어제입금햇는데오늘왓어요 ㅎㅎ 그리구적당한크롭기장?에 잘늘어나서조은거같아요 ㅎ
musej**|색은 생각보다 누랬지만 때타도 티 안날거같아서 새하얀것보다 좋아요! 옆도 m자라 많이들어가고 여름에들기 좋은것같아용
chu3890**|평이 좋아서 기대 많이 했는데 저는 생각보다 별로요ㅠㅠㅠ일단 재질이 좀 제 스타일 아니기도하고 여름에 입기에는 좀 더울것 같았어요. 저는 핑크랑 민트 두가지 주문했는데 민트보단 핑크가 이쁜것 같네요. 그리고 둘다 목부분이 주름져있어서 늘어나보이고 별로였어요ㅜㅜㅜ
chu3890**|그레이 샀는데 가방 디자인은 너무 귀여워요~~!근데 생각보다 가방이 작더라고요. 사진로 봤을때는 이런 크긴줄 몰랐는데 생각보다 작은 느낌이 들었어요. 학교 다닐때 쓰려했는데 막상 넣어보니 많이 안들어가더라고요ㅜㅜ그래도 가방안에 처리도 꼼꼼히 되있고 싼티안나서 좋아요!
ra81**|제가 마른체형이 아니라서 흰색으로 사면 부해보이면 어쩌지 했는데 아니나 다를까 약간 부한것같기도 해요ㅜㅜ 그래도 면도 진짜 좋고 슬랙스안에 넣어입으면 너무 예뻐요 특히 프린팅이 예뻐서 마음에 들어요 9000원이라서 기대도 안했는데 편하고 좋네요 애용할게요♡
chu3890**|평소 기본 블랙 스키니를 즐겨 입었는데 여름되고하니까 시원해보이고 싶어서 블루로 주문했어요!제가 허벅지가 얇은 편이라 허벅지부분이 넘 남아도는 느낌이 없지않아 있지만 그래도 색상이 너무 이뻐서 만족합니다.주변에서도 이쁘다고 칭찬해주네요!
a82645**|배송은 진짜 빨리왔더라구요네이비로 시켰는데 저한텐 좀 컸어요 근데 이뻤어요!엉덩이 덮을만큼 길이도 적당하고 나름괜찬은거같아요반바지랑 입어도 이쁠꺼같고 긴바지랑 입어도 괜찬을꺼같아요 이뻐요!!!!추천!!!!!!!!!
ra81**|솔직히 처음 살때 제가 키가 너무 작어서 핏이 안 예쁘거나 믾이 길까봐 걱정했어요ㅜ 입고보니 땅에 끌리더라구요 그래서 밑단을 두번정도 접어입었는데도 핏도 너무 예쁘고 진짜 편해요ㅠㅠ 입고나갔다가 다리 길다는 소리도 들었어요ㅋㅋㅋ키키 무튼 가격대비 너무 예쁘고 편하네요 소재도 마음에 들구 앞으로 자주 입고 나갈것 같아요 ♡
asd70**|다른 만원안되는 반팔티들중에 만삼천원이라 좀 가격있네싶었는데옷이 단순하면서 예뻐서 샀어요 근데 재질좋네요쉽게망가질재질도아니고 통풍 잘될거같아요 시원할거같고약간 비치긴 하는데 옷이 그렇게 얇은 재질은아니에요안ㅇ나시입음 되는것이고 만족해요 좋아요 ㅎㅎ
asd70**|L시킬까 고민했어요 단기간에 살이 확불어서 사이즈도 잘 몰랐거든요설마 내가 L겠어? 하고 눈물 머금고 m..시켰는데 하...m들어가는데 엄청껴요 이건 제몸매탓이고치마는 이쁘구요 친구들한테사진보내줬는데 제몸매 감안해서 보면치마 진짜이뿌다구 잘샀다더라구요 잘늘어나고 쫀쫀하구근데 물빠지지않을까 걱정은좀 되네요 진청인데 흰옷이랑 입으면 벗었을때 물들어있지않을까 싶은데입어봐야알겠죠 !
damsk34**|이게 딱달라붙어서 그런가?..뱃살이...이거 사이즈 작게나와서 한사이즈 크게 주문하시면 될거같아요.예쁘게 잘입을게요~
kimmijin07**|청바지가 없어서 하나 구매하려던참에디자인이 너무 이뻐서 하나 구매하게됬어용 ㅋㅋㅋㅋㅋ근데 S를 시켯는데 ㅠㅠS치곤 허리가 너무 크더라구용..그래서 수선집 맡겨서 수선중...ㅠㅠㅠ디자인이랑 색감은ㅇ 화면에서 보는거랑 똑같아요!!바지 끝쪽은 접혀있어서 찢긴 디자인부분이 헐어서 더 심하게뜯길일도 없을것같고 길이도 딱 적당하네여 ㅋㅋㅋㅋㅋ짧은거 잘 입는 분은 이거 시키면 괜찮을듯 하고긴바지 주로입는사람에겐 좀 짧은느낌?ㅎㅎㅎ수선맡긴거 찾아서 얼른 입고싶네요 ㅠㅠㅠ
fjdksl**|평소에도 입기 너무 좋아요 ㅋㅋ 진짜 배송느리고 화나는데 옷은 다 맘에 들어서 기다리게 되네요 감사해요^^
fjdksl**|여름에 입으려고 샀는데 살짝 두꺼워서 놀래긴 했지만 2주동안 기다린 보람이 있네요^^ 잘 어울리고 이쁘다고 칭찬받았어요^^
asd70**|생각보다 작구요 제가 큰걸 생각했나봐요 ㅋㅋㅋ그래도 만족만족하구요 디게 얇아요 흐물흐물안에 내용물 넣으면 괜찮겠죠 사진은 처음배송올때 접혀서 와서 주름필려고안에 옷을 돌돌말아서 집어넣은 상태로 찍은거에요
kkjung20**|저번에기본티로입을려고샀는데너무맘에들어서재구매했어요~블랙화이트로하나씩샀는데봄여름에아무하의랑입어도이쁠기본티에요다른티에비해날씬해보이는데편하고너무좋아요잘입을게요~ㅎㅎ
kimmijin07**|면스커트 화이트 구매하고 너무좋아서 쓰다가핑크로 하나 구매했어요!! 화이트 입을때s 였는뎅그대로 s핑크로 시켯더니 제가 살이쪄서 타이트하네용ㅋㅋㅋ사진으로 보는것과 비슷하구용~화이트는 진짜 새하얀색?이에요핑크는 인디핑크라고해야하나? 파스텔핑크? 화면에서보는거랑 똑같아요!! 15000원주고 구매한것 치곤잘 산것 같네용~~~데일리로 입기 좋은것같아요짱짱짱!!
kkjung20**|저번에기본티로입을려고샀는데너무맘에들어서재구매했어요~블랙화이트로하나씩샀는데봄여름에아무하의랑입어도이쁠기본티에요다른티에비해날씬해보이는데편하고너무좋아요잘입을게요~
herskd**|이거진짜이뻐요사세여
herskd**|쫌생각한것보단별론데접어서입은괜찮아요
kkjung20**|정말박시핏이네요ㅋㅋㅋㅋ아이보리로샀어요재질이조금빳빳하고두꺼운감이있어서더울까봐걱정했는데입어보니정말편하고좋아요박시핏이라편하고좋긴한데떡대도부각돼보여서조심해서입어야될거같아요ㅋㅋㅋ
herskd**|이뻐요색두이쁘고잘산거같아요
kkjung20**|깔끔하고이뻐용아무하의랑입어도이쁠거같고티가커서편하기도하고좋아요잘입을게요~
kkjung20**|편하고이뻐요생각했던거보다티가커서조금놀랐는데기본티로무난하게아무하의랑입어도예쁠거같고괜찮네요~~
qpdlqlzb**|좋아요
altjs15**|모델이 입은거처럼 길지는않은거같아요.제가 키가 커서 그런듯해요.근데 오히려 저는 입었을때모델처럼 길지가않아서 더 마음에 들어요.흰티에 입으니 너무 이뻐요.고민하시는분들 고민하지마시고 주문하세요.고고싱 엣지있게 베스트 짱짱!
wjswlgus**|너무 딱 맞지도 않고 편하게 입기 좋은거 같아요! 목 쪽이 답답하게 막혀있거나 졸리지 않고 트여있으니까 좋아요ㅋㅋㅋ세련되어 보이기도 하구요! 66사이즈 입으시는 분들도 부담없이 구매하셔도 될거같아요ㅋㅋㅋ저는 데일리로 이 옷 추천할게용!!
gumbai**|가방 너무 좋아요!!!! 제가 가지고있는 에코백들 중에서 제일 튼튼해요!특히 밑에 각잡혀있는게 너무 좋아요가격대비 잘산거 같고 무난해서 코디하기도 좋은거같아요 자주들고 다닐게요 ㅎㅎㅎㅎ 사이즈도 적당히 커서 책도 많이 들어가요!!
kkjung20**|사진이랑똑같아요~색도이쁘고핏도이뻐요사이즈는M,L둘중고민했는데좀편하게입을려고L샀는데배송와서딱보니까바지가큰거에요걱정했는데입어보니넉넉하긴하지만딱맞네요..살이쪘나봐요ㅋㅋㅋ여름에시원해보일것같은바지라서망설이지않고샀는데잘산거같아요잘입을게요~
omoi**|너무너무맘에들어묘
altjs15**|바지 살때 항상 사이즈 27사는데이모델은 m샀는데 핏이쁘게 딱맞아요.그냥 스키니 입을때보다 허벅지안쪽살이 딱 안붙어서 그런지더 날씬해보인답니다.키가 큰편이라 길이가 짦으면 어쩌나 했는데안접고 입으니깐 조금 짧은감은있지만 적당한거같아요흰티에도 어울리고 단가라티에도 어울리고아무옷이나 다 잘어울리는거같아요고민하시는분들 고민하지마시고 사세요진짜 존예에요 고고싱 소울블랙 슬랙스 짱짱!
omoi**|가격도면도보들보들 맘에짱들어요
so1012**|깔끔하고 높이도 적당하고 디자인이 이뻐요!!근데 약간 딱딱하고 걸을때 뒤꿈치가 아파요..
bed3**|브라보 데님스키니 아주좋아요!!!다른 사이트에서 사면 커서 항상 고고싱이용해요!고고싱에서 산 바지만 7개 정도가 되는데일단 스판이 있어서 엄청 엄청 편해요~~그런데 한 가지 단점이 있다면 색이 빠진다고 해야되나요?옷입을때나 바지좀 만지고 그러면 손이 파랗게 물들고흰양말 신어도 바지와 닿는부분 엄청 파랗게 물드네요그 한가지만 빼면 매우 만족합니다~
so1012**|의외로 완전 편하고 좋아요!!재질도 좋고!!
jem03**|배송은 느렸지만 입어보니까 완전시원해보이고 마음에 들어요한여름에 입으면 하늘하늘한게되게 이쁠것같아요다른 색상도 살까 생각중입니다
guswl8**|적당히 펑퍼짐한 사이즈에 길이도 딱 좋네요! 편하고 예쁩니다~^^
guswl8**|발바닥 닿는 부분이 푹신푹신해서 발 아플일이 없을 것 같고, 찍찍이라서 너무 편안해요~^^
jem03**|배송이 거의 일주일만에 왔어요....오랜 기다린만큼 기대가 컸지만 아무래도 값이 싸다보니 어쩔수 없네요그래도 잘 입으면 이쁘게 입을 수 있을거같네요나름 만족을 하면서 잘입겠습니다~
guswl8**|바지 자체가 엄청 세련되고 예쁘네요~ 이것만 입고 다닐 것 같은느낌ㅋㅋㅋㅋㅋ
kkjung20**|평소에편하게입을려고샀는데편하고좋네요~처음딱보고잘구겨질거같은소재라서잉?이랬는데입어보고바로만족했어요ㅎㅎ색은네이비그레이두개샀는데그레이도괜찮지만네이비가더이쁜거같아요시원하고편하고길이도너무짧지않고가격대비잘산거같아요잘입을게요
guswl8**|만지는 느낌이 너무 좋아욬ㅋㅋㅋ부들부들하고! 길이도 적당하고! 그런데 목이 좀 쭈글쭈글해요 금방 늘어날 것 같은 불길한 느낌ㅠㅠㅠㅠ 그치만 어디에나 잘 어울리기 때문에 후회없습니다!^^
awd78**|첫 포토리뷰네요~ 검정색에 사이즈 245 시켰는데 딱 맞았어요 정사이즈로 시키시면 될거같아요굽이 그렇게 높지도 않고 뒤에만 높거나 이런것도 아니기 때문에 되게 편합니다배송도 빨라서 좋았어요ㅎㅎ 화요일인가 수욜날 시켜서 금요일에 왔습니다무난한 디자인이라 마음에 들어요발목부분은 찍찍이로 붙였다 떼어내는 식으로 착용하게 되어있습니다 참고하세용
guswls26**|생각보다 소재도얇고 이뻐요 넉넉한허벅지가 짱입니당(♥첨으로 포토후기올려봐요
guswls26**|화이트삿는데 화이트보단 카키가이쁜거같아요아쉽다면 목이 늘어보여요
net89**|S구매했구요 허리가 약간남네요디자인 맘에들구요~ 색깔도 좋아요 ㅎㅎ
bigirl11**|레깅스만 3번째 구매예요 ㅎㅎ편하고 쫀쫀해서 운동할때 입기 좋습니당 !!!통풍이 잘되서 여름에도 입고다니기 좋아요 ㅎㅎ추천추천~
kkjung20**|평소에편하게입을려고샀는데편하고좋네요~처음딱보고잘구겨질거같은소재라서잉?이랬는데입어보고바로만족했어요ㅎㅎ시원하고편하고길이도너무짧지않고가격대비잘산거같아요잘입을게요
guswls26**|편하게 잘입고있어요♥
sr04**|아이보리 색상으로 골라서 입어봤는데 귀엽네요~속옷이 살찍 비치는감이 있어 청자켓과 걸쳐입으니까괜찮았어요~ 무난하게 예쁘게 잘입고다닐수 있는 티인거같아요약간 밑단이 짧은느낌이있었는데 입고다니다보면 괜찮을거같아요~ 배송도 빠르고 좋았어요 고맙습니다  ^^
guswls26**|화이트색상 운동할때 잘입구있어요!
guswls26**|소제도 도똠하고 쫀쫀해서 좋아요!운동할때 잘입구있어요
kkjung20**|편하고이쁠거같아서주문했어용생각했던거보다더이뻐요길이도딱무릎밑까지오고옷재질도좋고흰티랑입으니까깔끔하고편하고너무좋네요즐겨입을거같아요잘샀어용~
guswl8**|제가 원래 220신는데 이건 사이즈가 없어서 225시켰는데 역시 헐렁하네요ㅠㅠ 신발끈 꽉 쪼이고 다녀야겠어요! 그치만 디자인이 너무 예뻐서 후회는 하지 않습니다! 화이트 컬로도 짱짱하니 좋네요`^^
sr04**|옷을 입으면 너무 태가 안나는거같아서 걱정이었는데 복부에 울퉁불퉁한 뱃살을 잡아주어서 정말 좋았어요!여름에 입기에는 조금 답답한감이 없지않아 있을거같은데그래도 꽉 압박해주는게 참 좋았습니다!덕분에 옷도 그나마 예쁘게 잘입고 있는거같아요~ 추천해요!ㅎ
guswl8**|사이즈 닥 좋고! 가격대에 비해 세련돼보입니다! 구매하셔도 절때 후회 안하실꺼예요~
guswls26**|너무귀엽고 좋아요 근데 155가입기에도 좀짧은감이있어서 좋아요♥
moom12**|정말맘에듭니다!!!배송도빨라서좋앗구용♡♡♡가격치곤 제질도좋네요♡♡뭐랑입어도 잘어울리는거같아용~~
guswls26**|가격싸고 쫀쫀하고 편합니당
hbna06**|사진이랑 똑같아요! 다른 후기들처럼 완전 스판 장난 아니여서 잘늘어나고 ㅋㅋㅋ치마가 많이 짧은건 아니라서 데일리로 편하게 입기 좋은것 같아요 !! 색은 생각보다 조금 톤다운 된청색이고 다만 밑단 처리가 ㅠㅠ 점점 닳아서 뜯어질까봐 무섭 ㅠㅠ 그래도 올해 잘 입을것 같아요~!
guswls26**|쫀쫀하고 땀이나도 시원해요 가격대비 잠 편한것같아요
rud66**|청치마샀는데 보기에도이쁘고 입었을때도이쁜거같아요!!강추~
hbna06**|처음에 청치마랑 같이 피팅된 사진만 보고 구매했는데 이런 재질인줄은 몰랐네요 ㅠㅠ 근데 시원할거같아서 오히려 잘된거같아요 ㅋㅋㅋ 구멍이 아주작게 송송뚫려있어서 시원하고 아아아아주 약간 비침있어서 나시입고 입어야겠어요 ㅎㅎ 봉우리 청스커트랑 같이 구매했는데 같이 입으면 좋을거같아요~~
rud66**|청치마이뻐서샀는데 입을때핏이랑그냥봤을때도이쁜거같아요!!!사고나서후회같은건없어요~
kkjung20**|핏이이상하지는않을까걱정반기대반하면서샀는데걱정할필요가없었네요ㅎㅎ길이는무릎위까지오고주름이제생각보다많아서조금부해보이긴하는데다들이쁘다고하네요~~무난하게입으려고블랙샀는데주문하고나서핑크로살걸하면서후회했네요..ㅋㅋㅋ핑크가밝고이뻤을거같은데블랙도깔끔하고이뻐용잘샀어요만족해요!
damin0**|이번에 마크트임 단가라티를 샀는데요. 주문폭주여서 다른티보다 2일정도 늦게 도착했어요. 지금 모델이 입은거 보면 많이 안파여보이는데 제가 직접 입어봤을때 이미지보다 좀 더 파인것같아요. 그래서 약간 입기가 불편해요. 많이 파인것 빼고는 디자인도 이쁘고 얇기도 적당해서 여름에 입고 다니기 좋을것 같아요. 개인적으로 파인정도가 괜찮으시면 추천해 드리고 싶어요 .
