kbg02**|너무 이뻐요♥♥     ♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥그리고 살때 한치수 더 큰걸루 사야할것 같아요ㅠ그래도 맘에 들어요
dbrud00**|화이트 신어보고 편하고 예뻐서 블랙도 산건데 가격대비 질도 좋고 사이즈도 정사이즈 사면 딱맞고 오래신어도 불편한감 없어서 너무너무 만족합니다
so87**|이거 이뻐보여서 샀는데 진!!!짜 후회안하고여 제가 뚱뚱한데 이옷은 크게 뚱뚱해보이지않고 일짜여도 핏이 진짜 이뻐요!!! 사도 후회안하고 저한텐 이쁜거같아여ㅎㅎㅎ 잘입겠습니다ㅎㅎ♡♡ 티는 여기서 산 포레버 베이지빅티(베이지)색으로 입었습니다!!!
so87**|버건디,네이비,베이지 색중에서 이색이 제일 좋은것같아요!!♡^.^ 이쁘고 여기서 같이산 니트원피스에다가도 입으면 진짜 이뻐여♡♡ 잘입겠습니다♡♡^.^
so87**|버건디,네이비,베이지 이 3가지샀는데 버건디색은 원피스에입으면 이쁠 것 같고 이색은 그냥 청바지나 치마에 입어도 이쁠 것 같습니다!!!! 잘산것같아요!!♡♡ 잘입겠습니다ㅎㅎㅎ
so87**|이거 이쁜것같아요!!!♡♡ 색도 딱 괜찮고 원피스에다 입으면 진짜괜찮을듯합니다!!!♡ 옷 이쁘게입겠습니다ㅎㅎ
freego**|진청색이 생각보다 안진하네요ㅋㄱ 일단 바지는 진짜잘늘어나고 입는데 쏙쏙들어가서 느낌도좋았습니다. 다른바지도 믿고살수있을듯ㅎ 너무편해요 근데 바지주머니 안쪽 박음질이안되서 흰색부분이 튀어나오길래 제가 바느질따로했어요...ㅜㅜ
so87**|옷은 이쁜것같아요!! 근데 저에겐 그냥 그러네요 그래도 잘꾸미면 이쁠것같습니다!!^.^♡♡ 옷은 이쁜데 좀 크고여 이옷에다 스커트 입으면 이쁠것같아요!!♡♡♡
wltn47**|할인한다고 해서 긴가민가 하면서 그냥 샀는데 입어보니까 진짜 다르더라고요ㅠㅠㅠㅠ 안에 속바지도 있어서 따로 속바지 안입어도 되고 딱 입으니까 길이나 핏이 딱 좋더라구요 진짜 꼭꼭꼭꼭 사셨음 좋겠슫니다~~~~~~~ 여러분 꼭 사세용
wltn47**|니트 클래식핑크 색상으로 사기도 전에 너무 예뻐서 샀는데ㅠㅠㅠ 진짜 폼도 딱 적당하고 길이도 딱맞고 무엇보다 색도 넘 예쁘고 이 가격에 이만한 품질은 진짜 어디서도 못봤어요ㅠㅠㅠ 진짜 여러분 사실 분들 있으면 꼭꼭꼭ㄱ꼭ㄲ곡꼭꼬꼭 사세요 !#.!!!!!!!
so87**|스트로베리라떼랑 모카라떼 두개샀는데 이색도 이쁜거같아여!!♡♡ 근데 저는 분홍색이 더 좋은거같아여ㅎㅎㅎ 이 모카라떼색도 진짜 이쁘고여!!!♡♡♡ 두개 후회없이 잘산것같습니다ㅎㅎㅎ!!!♡♡^.^
