tndds**|진짜 완전 쫀쫀 그자체구요 그냥 옷만 펼쳐놓고보면 이게 어떻게 들어가나 싶을정도로 작아보이는데 또 들어가요 발목까지 완전 쫀쫀해요 허리도 완전 쫀쫀
saj050**|검정색 양말 없었는데 딱 무난하게 잘신고 다닐거 같아요~~~~~~~~감사합니당 고고싱ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ
ky0103**|길이 조절이 가능해서 저같이 키 작은 사람도 잘 입을수잇을것같아오 디자인 너므 예쁘고 얼른 날이 겁나 좋아졋으면 하고 기다리고잇네여
alsrud01**|이뻐요!!!!! 아직 날씨가 쌀쌀해서 입지는 못했지만 핏 이쁘고 이 가격에 이 코트는 정말 혜자스럽네요~~ 부담없이 무난하게 코디가능할것 같아요!
rladmswl56**|좋아여 근데 생각보다얇고 팔 좀 길어요그거빼곤 이쁘고 괜찮아요.. 가격값 하는거같기도하고 ....그냥저냥 괜찮아요 .....!!!!!!
dmdmsla**|앞이 조금파이긴했지만 심플하고 무난해요!아이보리라서 깔끔하고 단정해보여요 사자마자 바로착용하고 밖에나갔어요ㅎㅎㅎ너무마음에듭니당
ksm010**|카키색으로 구매했습니다.생각했던 그대로 였어요. 얇아요.근데 주머니 쪽에 실밥이 풀려서 일자로 쭉 그어져있더라고요.교환할까하다가 그럼 또 기다려야해서 그냥 입으려구요.
yeryn3**|오늘 학교에 신고갔는데 애들이 이쁘다고 난리에요ㅋㅋ 이거 양말 색깔 별로 다 모으고 싶네요ㅠㅠ 진짜 길이도 딱 제가 원하던 길이고 걍 조녜♡
yrpark**|연청으로살까 진청으로살까하다가 진청으로했는ㄷ받자마자 오 색이쁘다!!했어요ㅠㅠㅠㅠㅠ연청으로도 하나더살까생각중이에요ㅠㅠㅜ사이즈도 고민하다가 그냥수몰로했는데 너무작지도않고 티 넣고입기에딱맞앗어요 길이도 안짧고 적당해요!!!!!
ky0103**|짱 좋아요 짱 편하고 잘 삿담 치마 길이도 그렇게 심하게 길지않고 바비는 좀 길지만 편하고 후드도 핏이 넉넉해서 어디에나 매치하기 좋아요
saj050**|팔목부분이 조금 작은거랑 구김이 있는거 빼곤 진짜 다 완벽해요ㅠㅠㅠㅠㅠㅠ너무 이쁩니다ㅎㅎㅎㅎㅎ가격대비 최고입니당
dmdmsla**|사이즈도 딱맞고 핏도 너무예뻐요ㅎㅎ찢어있는부분도 무릎두군데 딱있고 제가생각한 디자인과 딱맞아서좋아요스판끼도 있는것같아서 입는것에는 불편함이없어요!맘에듭니다ㅎㅎ
yrpark**|검정 하양 하늘 핑크네게삿는데 핏도이쁘고 두께도 적당히얇아서 요즘입기딱이에요ㅠㅠㅠ몇개더쟁여놔야겠어요ㅠㅠㅠ!!!
sora06**|생각보다 앞에 가슴부분이 좀 많이 파인거같지만 괜찮아요!! 원피스 길이도 156인데 적절해요~~ 되게 예뻐요!하늘하늘해서 봄에 입기에 딱이에요! 좀 쌀쌀할땐 위에 가디건이나 자켓걸치면 될거같구요~~ 보자마자 괜찮아서 바로 구매했어요!!!
dmsgp**|사진이랑 똑같아요 진짜 너무너무너무너무너무 예쁨 ㅠㅠㅠ 봄에 이것만 입고 다니고 싶어요 배송도 빠르구 다만 한가지 아쉬운점은 정말 스판끼가 일도 없어서 벗을때 조심조심 해야하지만 아 너무 이뻐요 소재도 부들부들 하고 팔도 이쁘구 4월에 놀러가면 많이 입을거같아요 고고싱 짱❤❤
35775537**|박시한 스타일을 원래 좋아하는데 사이즈도 딱 적당한 거 같고 색깔은 제가 생각했던것보다 어두운데 그래도 봄에 잘 어울리는 거같아요~~
35775537**|너무 이쁘네요 어디에 매치해도 이쁠 거 같아요 그리고 가격이 스카프로써 저렴한것도 좋아요!! 앞으로도 고고싱 자주이용하겠습니다
dlwldms08**|처음왔을때 실밥이 많이 나와있던 상태였어요..조금 당황했지만 그래도 싸게 잘 산것같아서제가 정리하고 입고 다니고 있습니당
dmsgp**|레이스 치마에 입으려고 샀는데 브이라인에 너무 부해보이지 않는 니트라 좋은거같아요~ 얇아서 가볍고 입기도 편하네요 ㅎㅎ 가성비 짱짱 인거같아요!나중에 청치마에도 입어도 이쁠거같고 무난해서 입기 좋을거 같네요 배송도 빨라서 좋았어요!
rhdns12**|봄이되었는데 청치마사려고 뒤적 뒤적했는데 고고싱에서 진짜 너무 예쁜 치마를 만들어주셨네여!! 진짜 너무이뻐용 친구들도 예쁘데요!! 얇기는 얇지만 봄여름 가을 이쁘게입을수있어요 색도 예쁜 청색이여서 다른 코디해도 잘어울리고요 ㅎㅎ 맘에쏙드네요~~>.<이쁘게 잘입겠습니다
rhdns12**|헐 존예 색감 대박이구요 가격도 완전 착해요 그리고 봄용이라서 그런지 엄~ 청얇네요 (살짝 두꺼울줄알았는데) 그래도 이뻐여 완전 ㅎㅎ
z030**|너무 마음에 들어요 오자마자 바로 입어보고 했는데 딱 핏도 이쁘고 소매 2번 접어입으니가 ㄷ딱이예용 ~~ 목부분이 살짝 쭈글쭈글해서 피고싶은데 다리미질을 해도되나 궁금하네요 ~~~~~
ekalaa**|꽃타이커프스 블라우스 소라색 완전이뻐요ㅎㅎㅎ 검정치마에 같이 입으니까 너무 이뻐요!!! 봄에 입기 딱인것같아요ㅎㅎ
896272630484685**|일어나자마자 기쁜마음으로 입어봄딱 사진보면 머리에서부터 방금 막일어난 모습이 적나라하게 보일듯 뿌듯ㅋㅎ거울 먼지 뿌듯ㅋㅎ리뷰쓰다 내방 상태보그ㅡ좌절감드네받았을땐 뭐여 겁나커 이생각했는데ㅋㅋㅎㅋ입어보니이쁭박시한걸 좋아해서 딱 맘에드는핏인듯그 테니스치마랑 핵잘어울리는듯근데 어떤 옷이라도 매치하기 이쁜듯
gywjd21**|저렴해서 샀는데 니트 중간에 조그만한 구멍이 있긴한데 교환하기 귀찮아서 그냥 입을려구요..ㅎ 좀 많이 비치네요.. 그래도 이뻐용
sin110**|대존예입니다 ㅠㅠㅜ 상비라 상의는 맨날 라지나 엑스라지사고 신중하게 구입하는 편인데 자켓이 확실히 커서 편하게 입을수 있고 색도 쇼핑몰 사진보다 조금 더 진한 베이지색이에요. 친구들이 약간 쭈글쭈글해 보인다고 하긴 했는데 전체적으로는 아주 만족합니다!!
896272630484685**|이쁨근데 가격값하는듯음 나쁘진않은듯근데 가격값하는건 맞느늣베이지랑 이색시켰는데베이지는 진짜ㅋㅎ색이 누런색인데이건 나쁘지않은듯
dmswn14**|핑크는 아직 좀 부담스럽고 처음으로 파르스름한 소라색을 선택해봤습니다!!!!!!!!!!!!!1생각한것보다 색감이 연하고 톤은 밝았습니다. 재질은 보기와는(?) 다르게 정~~~말 짱짱 부드러웠어요!!!!!!가디건만 부분배송 왔는데 기다리길 잘했네용ㅎㅎ
osb09**|바지 너무 이뻐요!스판끼도 있어서 잘 늘어나고 편해요!^^길까봐 걱정했는데 적당해요너무 맘에 들어요고고싱 자주 이용해요♥
eunong76**|색상은 진한 네이비색상이 아니라서 더 맘에 들어요. 소재도 찰랑찰랑 거려서 좋구요. 다만 아쉬운 점은 박음질이 따로 논다는 느낌이랄까요. 자꾸 안감소재가 바깥으로 나와서 불편합니다.
eunong76**|여리여리한 블라우스의 표본인거 같아요. 블라우스와 색상의 특성상 조금의 비침은 있지만 감안하고 산거라서 괜찮습니다. 예뻐서 만족합니다.
veryyou**|신축성이 진짜 없어요!!ㅜㅜ한사이즈 크게 구매하셔야할것같아요치마는 진짜 이쁘긴합니다ㅜㅜ그렇지만 신축성은 진짜 없어요ㅜㅜ 벗을때 치마 찢어지는줄....교환하려고요ㅜㅜㅜ배송비ㅜㅜㅜ
wjdal14**|입고가 늦어져서 늦게받앗는데요 그래도만족해요~ 화면이랑 봣던거랑 똑같고 재질도 괜찮고 색깔도 이쁘고 편하게 어디든지 잘메고 다닐 수 있을꺼같아요 이쁘게 메고다닐께요~
whalswn24**|품 있고 팔길이가 긴게너무좋은거같아요 흰색을샀는데도 엄청비치는정도도 아니고 약간 비치는정도라 괜찮은거같아요 다른색상도 사고싶네요
gywls7**|이재 봄이니까 플라워 스커트 하나 장만하려고 구매했어요ㅎㅎ생각보다 타이트하게 달라붙어서 놀랐지만그건 제 튼실한 하체탓이겠죠?ㅎㅎㅎ걷다보면 치마가 슬슬 올라갈것같지만그정도는 감안하고 입을 수 있을 정도의 디자인이네요ㅎㅎ봄되면 예쁘게 코디해서 입으려구요~
whalswn24**|봄가을에 편하게입을니트를 찾다가 발견한 니튼데요 원래생각했던색상이 품절되는바람에 카키를샀는데 생각보다 이쁘고 무난하게 코디하기도 좋은것같아서 좋네요~
ruddms78**|흑청이라 더 이쁜거같아요 흰옷이든 검정옷이든 다 잘어울려요!!! 일반 청자켓보다 질리지도 않고 유니크해서 이뻐요ㅎㅎㅎㅎㅎㅎ
ruddms78**|예뻐요 ~ 어느옷이든 다 코디가 가능해요!! 다만 아이보리 색상이다보니 깨끗하게 오래쓰긴 힘들거같아요 ㅠㅠㅠ그래도 이쁘게 쓰고있어요~~
miha**|화이트는 후기가 없어서 걱정했는데 사길 잘했어여 ㅎ 집에 검정색 워커는 있어서 특이하구 어디에나 잘 어울리는거 같아여 평소에 230 신는데 양말 신고 오래신음 아플거같아서 235시켰는데 좋아요 ㅎㅎ
choi80**|매우매우 작아요 들어가서 입구는 잇는데 스판끼가 아주 많지는않아요 디자인이나 워싱 핏감 길이는 다 만족하는데 좀작게 나온듯 합니다
choi80**|7부라 산뜻해보이고 이뻐용  크롭티 스탈이라 하이웨이스트 청바지랑 짝꿍이구요 밝고 경쾌해 보입니다 이뿌게 잘 입을께용
qlqldos1**|피팅용이여서 걱정했는데 걱정과 달리 깔끔한 상태로와서 만족합니다. 냄새도 나지않고 관리도 잘 된거같네요 무난하게 입기 좋은 스타일입니다
qlqldos1**|원하던 핏이와서 좋아요!
qlqldos1**|배송을 받자마자 뜯었는데 가디건에서 곰팡이 썩은내가 나네요.. 옷관리를 어떻게 하는건지 모르겠네요. 냄새는 사진으로 찍을수 없으니.. 옷핏은 괜찮아보이는데 오자마자 빨래통으로 들어갔습니다 바로입기에 무리가있네요
qlqldos1**|배송을 받자마자 뜯었는데 가디건에서 곰팡이 썩은내가 나네요.. 옷관리를 어떻게 하는건지 모르겠네요. 냄새는 사진으로 찍을수 없으니.. 옷핏은 괜찮아보이는데 오자마자 빨래통으로 들어갔습니다 바로입기에 무리가있네요
youjin72**|진짜 편해요!!!!!!!!!!!!!!!!!!!!!!!!!!!!3벌이나 샀습니다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ후회안하실꺼에요 꼭구매하시길~~~~~~~~~~~~~~~~!!!!!!!!!!!!!!!!!!
saena**|딱좋습니당!핏도아방한게귀엽고질도갠찮고활동하기도편하고다좋아욥~~~!!!!배송도빠른편이었구욥아주귀욤귀욤하게입기좋은거같습니당!고고싱은항상가성비갑인거같아요~~~!!자주자주애용하는쇼핑몰이에요ㅎㅎ!!
saena**|딱좋습니당!핏도좋고질도갠찮고활동하기도편하고다좋아욥~~~!!!!배송도빠른편이었구욥두루두루잘매치해서입기좋은거같습니당고고싱은항상가성비갑인거같아요~~~!!자주자주애용하는쇼핑몰이에요ㅎㅎ!!
saena**|딱좋습니당!핏도좋고질도갠찮고활동하기도편하고다좋아욥~~~!!!!배송도빠른편이었구욥두루두루잘매치해서입기좋은거같습니당고고싱은항상가성비갑인거같아요~~~!!자주자주애용하는쇼핑몰이에요ㅎㅎ!!
saena**|딱좋습니당!핏도좋고질도갠찮고활동하기도편하고다좋아욥~~~!!!!배송도빠른편이었구욥두루두루잘매치해서입기좋은거같습니당고고싱은항상가성비갑인거같아요~~~!!자주자주애용하는쇼핑몰이에요ㅎㅎ!!
tnals52**|치마가 색도 매우이쁘고 기장은 저한테 조금 짧았지만 그래도 이쁜것같아요 마음에듭니다 가격에 비해 좋은듯 연청이뻐요!
tnals52**|되게 재질이 얇고 펄렁거리는 재질이에요  그래서 조금 신경쓰이더라구요 조금 탄탄했으면 더좋았을것같습니다 그래도 잘입을게염
tnals52**|제가 155에 49키로라는 통통한 체형인데 s를 주문시켰는데 사이즈가 맞네요ㅋㅋ 저한테는 다른부분은 다 스키니지만 발목부분만 좀 남는 바지핏이여서 굉장히 마음에 들었습니다
tnals52**|양말 이뻐여 저렴하고 베이직한 양말이에요 배송도 빨리 왔습니당 길이와 두께도 적당하고 저는 마음에 들었습니다! 감사합니당
tnals52**|배송은 2~3일만에 왔구요 빨리와서 놀랐어요ㅎㅎ일단 옷이 얇구요 지금 계절에 입기 좋은 옷이에용 되게 이뻐서 자주입게됨 하얀색도 구매하려구요
edward**|크기도 크고 튼튼한거같고 ㅎㅎ에코백으로 험하게그냥 데일리로 들려고 샀는데 생각보다 괜찮은거같아요 ㅎㅎ 골덴이라 여름에는 좀 그럴거같은데 이쁘니까 됫어여 ㅎㅎ
edward**|개이뻐요 ㅠㅠ다홍색상 배송지연되서 좀기다렸는데 기다린만큼 색 너무이쁘네여.. 검정으로도 하나 살까싶어요 ㅋㅋㅋㅋ
edward**|이거 옷 존예..반팔입긴 아직 이른데 옷넘이쁘네여 ㅋㅋㅋㅋㅋ깜짝놀랏어요 근데 안에 이너티셔츠입고 입어야할듯 ㅠㅠ 좀 까끌거려서 피부예민하시면 못입을듯
edward**|올리브색 진짜 차분해보이면서도 어둡지도않고 딱 원하던 색이에요! 청바지랑 입으면 완전 이쁘고 ㅠㅠ편하고 ㅎㅎ데일리로 잘입을거같아여
edward**|이거진짜 레이어드로입어도되고! 찰랑찰랑 떨어져서 여리여리해보이고 이뻐용 ㅎㅎ근데 뭔가 실밥이 잘 풀릴거같은? 그런느낌이라서 조심히입어야할거같아여 ㅠㅠ
edward**|이거진짜 ㅋㅋㅋㅋ완전맘에들어요! ㅠㅠㅠ딱 제가원한 박스핏에다가 밑에 레깅스만 신어도될정도로 엉덩이다거려줘요!!짱강추ㅠㅠ후기별로없어서 망설였는데 ㅎㅎ맘에드네욥 근데 검정색먼지가 하얀부분에 많이묻어여ㅠㅜ
edward**|핏 아주맘에들어용ㅎㅎㅎ촤르륵떨어져서 팔뚝굵어보이지도않고 짱좋네여!배송이 다소 느렸지만 만족합니다 ㅎㅎ잘입을게요
alswjd23**|오늘 드디어 기다리던 청자켓이 왔습니다♡ 저번주 수요일에 시켰는데 예상했던것보다 빨리와서 기뻐요. 저는 주머니나 박음질같은것도 다 정상으로 왔고 무엇보다 옷핏도 너무 예뻐요. 이 가격에 이런옷 찾기 어려운데 감사해요. 고고싱 ♡
gggooo3**|길이가 길까봐 걱정했는데 생각 보다 딱맞아서 좋아요 ~맨날 실패 했엇는데 고고싱에서 사니까 한번에 성공 ㅜㅜ 앞으로도 자주 이용할거같아요 ㅎㅎㅎ
choi9507**|원피스 어깨끈으로 기장 줄이고 늘릴수 있어서 엄청 편하고좋았어요. 봄에 입으면 참 좋은 옷남자친구가 예쁘다 해줬고, 티 색만 흰색으로 바꿔서 입ㅌ으면또 다른옷도ㅣ고 밑에 단이 되게 포인트에요 예뻐요
choi9507**|이거 기장도 품도 딱맞아서 다른색도 살거에요ㅠㅠㅠㅠ엄청좋음 기본티로진짜 사실 66입어서 작을줄 알았는데타이트하지도 않고 딱맞고 쫀쫀해서 엄청 편하고좋아서 자주 애용하게 되는데 오늘 흰색도 살거에요ㅠㅠ
choi9507**|양말이 굉장히 쫀쫀하고 너무 좋아요ㅠㅠ몇장 더 사서 신고싶어요ㅠㅠㅠ깔별로 소장하고싶은 욕구 상승약간 얇긴한데 지금 신기 딱 좋은두께원피스랑 같이 신으니까 예쁘고 기장도 괜찮았어요!!
qhgu**|이거 은근따뜻하고 핏도정말이뻐요 후기보고삿는데 믿을만하네요역시 고고싱! 어디에나잘어울려서 잘입고다닐게요~~
s3206**|블라우스 왜이렇게 에뻐요ㅜㅜ 진짜소장해야됨!!!살랑살랑 완전예쁘고 꽃패턴이부담스럽지않아서 맘에듭니다!!
65278339**|짱 이뻐요 보는 사람 마다 이쁘다고 난리 입니다 !!! 포인트도 너무 이쁘고 어디에다가도 다 잘어울리는거 같아요 ! 슬랙스에다도 비티지 하게 입을 수 있고 테니스 치마랑도 잘어울려용
s3206**|1위판매인만큼 너무예쁘네요 늦게올까걱정햇는데 빨리와서좋아요 소매가 길긴한데 접으니까 딱이네요 타이도 너무예뻐요
s3206**|천국바지는 진짜 소장템!!! 슬랙스살라구 했었는데 천국바지에서 나오다니요!! 길이도 적당해요ㅜㅜ 길면어쩌나했는데
s3206**|뒷태보고 바로구매했습니다 세일할때사서 기분좋아요! 소매도적당하고 아무옷이나입어도 좋아요 뺠리날씨풀렷음좋겟네요
linz**|이거진짜 미친옷이에요 고민하시는 분들있으면 당장 사시길..진짜 진짜 길이도 딱이구요 윗부분이 약간 입을 떄 힘든 느낌이 있기도 한데 딱 입구나면 진짜 다 용서될정도 그냥 저는 되게 맘에드는거 같아요 그리고 약간 많이 파이긴 했는데 안에 티나 레이어드하면되니까요 여튼 고급스럽고이뻐요
vrlaalsw**|바지가 핏도 너무 너무 이쁘고, 완전 편해요~! 사이즈도 괜찮고, 너무 좋은 것 같아요~! 완전 추천하고 싶은 바지입니다!!
s3206**|핑크로 구매했어요 얇고 봄에 입기딱좋아요고고싱니트는 후회한적 없는거같아요 핏도예쁘고 색이진짜 여리여리해서 너무조아옹
ekd**|일단 배송이 빨라서 좋았어요근데 구김이 너무 있어서 좀 아쉬웠어요..남방 민트색상을 샀는데 이쁘네요 흔하지 않은것 같고~남방을 자주 입어서 많이 구매했는데 이 남방은 너무 크지 않고 두께도 적당해서 괜찮네요다른색상도 구입할까 합니다
s3206**|생각보다 얇네요 초여름에 입을수있을거 같아요요새핑크에 꽂혀서 치마도구매했네요 속바지잇어서 펀하고좋아요!!!!
s3206**|한달동안 장바구니 담아놓고 이제서야 구매했네요ㅜㅜ 너무 예뻐요!!! 단품으로 얼른 입고싶네요 끈 조절이 힘들었지만 잘입을게요
nahee08**|살이 허벅지에 유독 많아서 사이즈 M사서 좀 크지 않을까 걱정했는데 조금 크지만 그래도 입을만하네요!!치마바지여서 움직이거나 특히 대중교통 이용할 때 신경 안쓰일거같아요 스판이여서 움직이기도 편하고 늘어나서 좋네요!딱히 마음에 드는점은 아직까지 발견못했어요 편하고 좋네요
s3206**|보자마자 바로 질렀어요!! 봄 원피스 겟ㅋㅋ 핑크가많던데아이보리로 샀습니다 날씨풀리면 바로 입을거에용ㅜㅜ 넘나귀여위ㅣ요
tkdzma09**|일단 청바지랑 잘어울려서 너무 맘에 들었어요!!언니는 좀 통통한 편인데 옷이 커서 끼는 느낌없이 잘 맞더라구요 둘다 편하게 입을 수 있어서 좋아요
abcd98**|여리여리해보이면서도 섹시해요!!!  ㅎㅎㅎ  뷔스티에랑도 너무나 어울리고  이뿌네요 너무 배송도 빠르고 추천합니당ㅎ
1797085117198179**|진심 개이쁨 개만족 완젼 좋음 살때 후기 없어서 걱정반 기대 반이였는데 사길 잘한거 같아요 빨간색도 이쁠득 지금 입기에 딱 좋은거같아요 히히
hayan11**|보자마자 넘 이뻐서 구매했는데 예상대로 이뻐요!!!*.* 163인데 짧은치마 좋아해서 맘에 들어요!! 다리도 길어보이고 패턴도 화사해요! 너무 사기 잘한거같아요 벚꽃축제때 입으려구용♥︎
jyo47**|팔부분이 너무 당황스러웟는데 모델이코디한것처럼 니트원피스랑같이사서입엇는데 핵이쁘네용 ㅎㅎ소매부분을 쫌접어야지 이쁜거같아요!!!쫌 박시하게나와서 더이쁜거같아요 ㅎㅎㅎ
jyo47**|길이도적당하고 나름괜찮아용 아직쫌쌀쌀하긴한데 날씨좋으면 잘입구다닐꺼같아용 ㅎㅎ처음왓을때 쫌그랫는데 입어보니 이쁘게핏이나오는듯하네용!!
thdsk**|처음에 보고 나시가 따로 안에 있는 제품인가 했었는데받고 나서 의문이 풀렸습니다. 안에 천이 자체로 붙어있네요.생각보다 신축성이 있습니다.치마 안감이 짝짝이로 붙어있지만, 미묘해서 별 티는 안나고보이는 그대로입니다.
1797085117198179**|생각보다 엄청 많이 컷어요 넣어도 넣어도 끝도없이 들어가는듯ㅋㅋㅋㅋㅋ 그래도 만족해요@! 다만 쫌 흐믈흐물 거린다고 해야되나 그래도 괜찮아요
1797085117198179**|살짝비치는데 그게더 좋은거 같아요 요즘 입기에 딱 좋은둡!청바지에 너무 잘어울려서 만족해요다른색도 이쁠꺼 같네요 고고싱에서는 옷을 실패해본적이 없는거 같네요
welc**|단정하고 깔끔해요 학교갈때 입기 좋겠어요 커프스 처음 사봐서 좀 걱정하고 불편하진 않을까 했는데 전혀 네버 문제 없음당ㅎㅎㅎ 얘로 스타트 끊어서 조만간 또 살것같아요 그만큼 맘에들어요!
welc**|정말 너무너무너무너무너무 커요.... 이렇게 큰줄 몰랐는데; 입으면 어깨깡패되는건 정말 시간문제입니다!^^! 청치마에 입으려고 엄청 기대했던 상품인데ㅠㅠ 너무 커서 아직 재워두는 중입니다 뭐 언젠간 입겠죠...ㅠ
welc**|이쁜데 뒤에 크기조절끈을 넣어서 고정하는게 없는줄 몰랐어요 막 불편한 건 아닌데 가끔 조금 지저분해보여요 뒤에서 보면! 그리고 모자 윗부분이 딱 원형이 아니라 살짝 눌린 느낌..? 원래 이런것같아욬ㅋㅋㅋ 이거말고는 다 만족합니다! 아무데나 잘 어울려용 굿
welc**|이뻐요ㅠㅜㅠㅠ고퀄 맞습니다 ! 근데 좀 아쉬운건....흙 또루륵...영어입니다 제가 왜 영어를 안보고 샀을까요.. 뒷면에 '박하 신선한 맛'....ㅎㅎ 친구들이 박하같은 년이라며ㅠㅠ 옷자체는 이쁩니다
welc**|허리에 스판이 있어서 진짜 편해요 입었을 때 핏 너무 이쁘고 제가 키가 작은 편인데 이거 입으면 좀 커보이는것 같아욬ㅋㅋㅋ 기장은 제 키때문인지 조금 긴데 신발 굽있는거 신으면 딱좋아용! 잘입을게요
welc**|이거 너무 이뻐요ㅠㅜㅠ산 것들 중 제일 마음에 들어요 사이즈는 정사이즈~조금 작게 나온 것같아요 이거 입은 날 다들 이쁘다고 해줬어요 넘나 스릉스러운 제품이에요 고민말고 사시길!
welc**|기대했던대로 핑키핑키하고 봄느낌나서 좋아요 근데 아직은 좀 추워보일것 같고 얇은 느낌이라 날 좀더 풀리면 입으려구용!! 배송도 빨랐습니다. :)
dntn**|진짜 여리여리해보이고 예쁜데 등이 생각보다 파였네요 ㅋㅋㅋㅋㅋ ㅠㅠㅠ 머리로 슬쩍 가려야겠어요 ㅋㅋㅋㅋ 꽃보러 갈 때 이거 입을거에요!!
dntn**|예뻐요!! 27사이즈 딱이네요 ㅎㅎㅎ 봄부터 초여름까지는 괜찮을 것 같아요!! 조금 밝은 것 같은데 밝은 거 치고 안뚱뚱해보여요~~
jiwoo78**|고고싱에서 같이 산 블라우스랑 입었는데 치마랑 블라우스 둘 다 이뻐요!! 입었을때 편하면서 길이도 적당해요 고고싱옷은 다 이쁜듯ㅋㅋㅋ
fts10fts**|길이가 긴 원피스 사고싶어서 구입했는데요 하 ㅠㅠㅠㅠㅠㅠ 생각보다 원피스 통이 매우 넓더라구요 ㅠㅠㅠㅠ 입었는데 임부복 같다는 생각이...... ㅠㅠ 그래서 허리부분 수선해서 통좀 줄여서 입고다니려구요. 여리여리하신분 아니면 덩치가 커보일거같은 느낌이 많이 들었어요 그래도 활동면에서만 보면 편하고 좋아요. 저역시 꾸미고싶을때보다는 편하게나가고싶을때 이옷입을려구요
fts10fts**|바지안에 상의 넣어 다니는 스타일 좋아하긴 하는데 이옷은 그렇게 입기에 그렇게 예쁜 스타일은 아니더라구요 ㅠㅠ 그래도 제가 좋아하는 스트라이프 타입이라 옷은 예뻐요 고고싱답게 배송도 무지 빠르구요. 저처럼 어깨가 넓은 사람한테는 덩치가 약간 커보이는 경향이 있더라구요 ㅠㅠ 모델핏은 저렇게나 이쁜데...또륵..
sky0202**|길이도적당히 길고 너무 이뿌네요속에비치는거 빼고는 다만족합니다..청바지에입어도 너무이뻐용~^^다른색도 다시구매해야겠어요..
ejlove3**|가격도 착하고 브이넷도 이뻐요 ~ 한개씩은 가지고 있는 블랙 니트가 없어서 이번에 구입했는데 니트입고 가디건 걸치고 다니면 괜찮을거 같아요~
jiwoo78**|고고싱에서 같이 산 치마랑 같이 코디했는데 완전 여성스러운게 이뻐요ㅋㅋㅋㅋ 검정색치마랑 입어도 이쁘고 바지랑 같이 코디해도 이쁘더라구요
ejlove3**|주로 티를 입으면 블랙과 화이트였는데 이번 봄에는 새로운 색을 입어보기 위해 주문한 머스타드!!!! 색깔 이뻐요 ㅋㅋㅋ
fts10fts**|태슬로즈 크로스백 두번째 삽니다. 첫번째 샀던건 한 열번정도 매고 나갔는데 갑자기 끈 뚝 떨어져버렸어요 ㅠㅠ 등산가서 떨어진거라 들고다니기 진짜 화났었는데 가격에 비해 괜찮은 가방이라 생각해서 한번 더 주문 시켰어요  하지만 모델분 상세컷처럼 저렇게 반듯하진않고 제 사진보시면 앞이 구겨졌다해야하나? 흐물거려요 ㅠㅠ
ejlove3**|어느 옷에 입던지 다 잘 어울리는 맨투맨!! 고고싱에서 주문한 청바지와 같이 입으려고 산 그레이 맨투맨 ~ 사이즈도 딱이고 괜찮아요
jiwoo78**|전에 다른데서 남방샀는데 그땐 너무 빳빳해서 별로였었는데 이건 떨어지는 핏도 이쁘고 단독으로든 입든 같이 입든 이뻐용!!
sky0202**|치마속에 속바지까지 있어서 너무좋으네요길이도딱좋고..같이산남방에  입으니..완젼 내스타일입니다..좋아요..ㅋ
sky0202**|남방질도좋고봄에입기딱이예요여기저기찾다가 고고싱에서 보고 바로가입했어요속이 나시랑같이입으니깐 입비치고 좋아요
jiwoo78**|생각보다 너무 타이트해서 좀 놀랐는데 보다보니까 이쁜것같아요 다만 활동하기가 불편하다는게 흠이라면 흠인데 치마자체론 이쁘니까 만족해요ㅎ
jiwoo78**|화이트샀었는데 옷도 쫀쫀?한게 질도 좋고 핏도 이쁘길래 스트로베리라떼도 샀어요ㅋㅋㅋㅋ 완전 핑크도 아닌게 톤다운된 핑크라서 입기 부담스럽지 않고 이뻐요!
jiwoo78**|사려던 조끼가 품절돼서 샀는데 사고 보니까 약한 연한 핑크끼도 돌고 여리여리해 보이는게 이게 더 이쁜것같아서 만족스러워요!!
klm07**|면회 갈 때 입을려고 샀는데 너무 이뻐요. 밴딩이 적당히 들어가서 좋았어요~ 근데 어떻게 입으면 좀 부해보이기도 하고 아닌거 같기도 하네요 안에 이너가 있어서 팔부분의 적당한 비침 빼고는 아이보리인데도 전혀 안비쳐서 좋았어요~ 위에 니트나 가디건이랑 같이 입으면 더 이쁠 꺼같아요~
qmdl1**|정말 이쁘고 맘에 드는데 입어보자 마자 저렇게  되있더라구요ㅠㅠ그냥 잘라서 입었지만 다음부터는 신경 써주세요ㅠㅠ그것 말고는 좋았어요
wlsydd**|백 구매한지는 쫌 지났는데여 ㅎㅎ 다른거 메고 다니다가 고고싱에서 받은 백으로 계속 들고 다니고있어여 ㅎㅎ 길이도 딱 좋구 또 가로공간이 쪼금 좁긴하지만(빛이 대각선으로들어감)그래도 화장품같은건 들어가서 좋은것 같아요. 항상 코디해서 잘 메고 다녀요 ㅎㅎ
