ahyun97**|바닥도 푹신하니 편하고 진짜 불편한 부분이 하나도없어요 사길 잘한거같아요ㅠㅠ너무너무이쁩니다ㅠㅠ때타도 물티슈로 조금만 슥슥해주면 금방지워지고 싼티 하나도 안나고 진짜 너무너무 이뻐요ㅠㅠ평소에도 230신는데 이것도 정사이즈로 잘나왔어요!!
sheets123**|진짜 싸게 사서 잘입고 있어요 어느 하의에 입어도 어울려요 배송은 조금 늦게 받은 편입니다~~
mjyj**|편하고 길이감이 조금 짧긴 하지만 괜찮아요ㅎㅎ색깔도 이쁘고 사진이랑 비슷하네요 근데 재질이 조금 까끌해요ㅜㅜ잘입을게요
sheets123**|여행갔을때 이거 입고 사진찍았더니 친구들이 이쁜 옷 입었다고 칭찬해줬어욬ㅋㅋ 진짜 이뻐용ㅇ
ahyun97**|진짜진짜진짜 예뻐요 짜임이 조금 탄탄한 감은 없지만 그래도 색감도 그렇고 너무너무너무 이쁩니다ㅠㅠ여행가서 인생짤 잔뜩 건져왔어욯ㅎㅎㅎㅎㅎㅎ꼭사세요 하얀색도 사고싶내여....
qwe51**|역시 고고싱!!배송도 칼배송이구 세일해서싸게샀는데 사이즈도 딱맞구넘넘 이뻐요ㅎㅎ역시 실망시키지않네여ㅎㅎ
sheets123**|너무 이쁜거 같아요~~~!! 목 늘어지는것도 없어요. 여행갈따 입으려고 샀는데 여행기간동안 완전 잘입고 다녔어요
qwe51**|역시 고고싱!!배송도 칼배송이구 세일해서싸게샀는데 사이즈도 딱맞구넘넘 이뻐요ㅎㅎ역시 실망시키지않네여ㅎㅎ
mjyj**|가방 충동적으로 샀는데 너무 마음에 드네용ㅠㅠ안에 카드지갑도 예쁘고 어느 옷이나 다 잘어울릴것같아요!!사진이랑 똑같아요 잘쓸게요 ㅎㅎ
dws040**|예뻐요!!  중청치고는 조금 밝다고 생각했는데 무난했던거같아요. 그래도 안줄이고입을수있어서 좋아요!
ahyun97**|기장이 너무 짧을까 걱정했는데 너무 짧지도않고 딱 이쁜기장이예요! 긴치마랑 같이입으니까 정말 찰떡ㅠㅠ너무너무 예쁩니다 여기 색말고도 더있었음 좋겠어요..다른색도 사고싶다..아 그리고 여기서 산 가디건이랑도 찰떡입니다 흑흑 너무좋아요 고고싱은 사랑입니다
769484666**|핏은 너무 이뻐용...근뎅 허리가 딱맞아서 부담ㅠ 프리라기엔 너무 작게 나온것같아용 사이즈만 맞은 가격대비 참 이뻐용~
769484666**|오늘 받앗는데 생각보다 길이가 짧아요...근데 이쁘네용 속에반바지 하나입고 입어야겟어용 팔부분도 리본으로 묶어마무리하니 여성스럽고 이쁘네용
byo**|허리 라인이 좀 위쪽에 있어서, 통짜허리처럼 보이기 쉬운 옷 같아요 많은 리뷰들처럼 저도 역시 팔부분이 좀 작았어요 ㅜㅜ 색은 완전히 누리끼리한 색이고요 패턴도 예쁘고 색때문에 옷이 엄청 이상하진 않아요 전 전체적으로 부해보이는 핏때문에 맘에 들진 않네요 ㅜㅜ
guppylov**|색상 마음에 들어요. 가슴부분도 단추있어서 안벌어지고 좋네요.ㅎㅎ 블랙색상도 구입하려구요. 재질도 만족해요. 엄청 얇지도않고 신축성도 있어서 편했어요. 데이트할 때 입으면 진짜 예쁠거같아요.
416416891**|색이 너무 예쁘고 품도 딱 적당하게 넉넉해서 어디에나 매치해도 예쁜 셔츠에요:-) 소재도 이가격에 괜찮고 길이감도 좋았어요. 기본셔츠 필요했는데 예쁘게 잘입을게요!
star20**|정말 좋아하는 문구라 무난하게 검정색으로 샀는데 진자 이뻐요 팔 길이도 짧지도 길지도 않아서 가볍게 편하게 걸칠 수 있는 디자인이에요! 핏 짱입니다
star20**|사진보다 약간 흐린 노란색인데 상관 없이 예뻐요! 기대 엄청 했는데도 실망시키지 않네요! 평균이든 키작이든 대부분 널널할 사이즈이실 거에요! 트임도 있고 핏 이쁘게 나오는 사이즈라 너무 마음에 들어요
401411698**|블랙 화이트 둘다 샀는데 잘 입고있어요 짤ㅈ은 감은 있지만 그냥저냥 입기좋은 기본템이예요
401411698**|주름지긴 하지만 옷 좋아요 편하고 산지 얼마 안되었는데도 자주 입었어요 지퍼가 없는게 싫었지만 지금은 좋아요 ㅋㅋㅋ
401411698**|정말정말 예쁜 원피스예요.... 진짜 예쁜데 한번 입으니 등이 약간 튿어졌어요 키 160 몸무게 47이라 옷이 튿어질 정도로 튼튼한 체격도 아닌데도요.
401411698**|핏이나 옷은 예쁘긴 한데 너무 비쳐요... 가격이 저렴하니 그냥 입으려구요 니트 치고 시원한 편이라 오래 입겠어욧
401411698**|양말 다섯켤례나 사서 매일매일 잘 신고 있어요 그냥 보통 발목 양말이예요.
401411698**|블랙 화이트 둘다 샀는데 둘다 좋아요! 넘 잘입고 있어요 기장이조금 짧긴 해욧
phm3**|찢청사고 싶어서 찾다가 고민하고 샀는데 괜찮네요 신축성은 진짜 없어서 불편하긴하지만 그냥 입어요
