wjdtjs2**|친구 선물용 으로 샀는데 무난하게 하고 다니기도 좋고 좋아요 다만 목도리 끝에 메이드인 있어서 조금 아쉬워요 그것 말고는 좋아요!
christar**|여행 갈 때 가지고 갈 가방이 필요해서 하나 샀는데 너무 잘썻어요!소재가 너무 마음에 들어요아무거나 뭍어도 잘 닦이구 생각 보다 가방 크기도 커서 많이 들어가져요!그냥 계절에 상관없이 들 수 있어서 좋구 가벼워서 좋아요세탁기에 그냥 넣고 빨아도 괜찮더라구요 모양도 안망가지구막 쓰실 가방 필요하시면 꼭 사세요!
ky968**|믿고사는 고고싱 ㅎㅎ 매년 이맘때쯤이면 봄맞이준비로 겨울옷을 파격할인하는거같아용 ㅎㅎ 맨날 코트사는걸 미루고 미루다 이번 세일때 싸기도 하고 필요하기도 해서 뭘살까하다가 고른게 포멀모직 롱코트! 맨첨에 동생이 보고는 왜이렇게 기냐고 가오나시같다고 ㅋㅋㅋㅋ해서 별론가 반품해야하나 했는데 입고 다녀보니까 진짜 만족..☆ 롱코트 갖고싶었는데 너무너무 잘산거같아요ㅠㅠㅠ 품도 넉넉해서 짱편해요....간단하게 실밥정리는 해줘야해용! 단추도 하나더 주셨네요 ㅎㅎㅎ 진짜 싸게사서 더 기분조아용 앞으로도 고고싱 지금처럼 많이 이용할게용 ㅎㅎㅎ 엄마가 이번에 고고싱택배온거보시고 맨날 왜 여기서 사냐고 하시는데 그만큼 애정해요 ♡
erin0**|목부분이 생각보다 길더라궁여안접고 올리면 얼굴 다가릴정도? 한번 접어도 좀 긴데 두번접으면 이상해서 걍 한번접어입어영색도 완전 흰색이 아니라 더 이쁘구요 치마랑 입으면 잘어울려요! 그냥 무난한 터틀넥니트임니당! 만원에 니트를 살 수 있단것만해두 감사한데 퀄도 나쁘지않아여. 하나쯤은 집에 있으면 죠을듯!
thwjdo**|딱 사진에서 보이는 것과 같은 짱짱한 파랑색!!! 하나쯤 가지고 있으면 블랙하의에 너무나도 잘어울릴것같아서 주문했는데 역시나..ㅠㅠㅠ 색도 너무 예쁘고 길이도 적당하고 너무 루즈하지도 타이트하지도 않아서 좋은 것 같아요. 다른 색들도 너무 예뻐서 구매할까 고민중입니다. 다들 구매하세요!!
wnthgml**|원래 올리브그린하구 핑크로 사려고 했었는뎁.. 결귀 올리브그린만 주문하구 말았는데 지금 후회중입니다ㅋㅋㅋ  올리브그린 색깔 너무 이쁘구용 니트 디자인도 이뻐여~~~~~ 조만간..  다른 색깔도 주문하려구요
thwjdo**|고고싱에서 바지 28 입는데 항상 치마가 고민이엇어요 M사기엔 좀 찡길거같고 L사기엔 너무 클것같고... 그러다 M샀는데...역시나 좀 찡기네요..하하 살을빼야지... 안에 뭐 넣어입기엔 두꺼운건 좀 힘들 것 같아요 그래도 늘어나지도 않을것같고 허리라인도 얇게 잡아줘서 무난하게 입을 것 같아요
thwjdo**|어떻게 보면 너무 튀는 색상이지만 맨날 어두침침한 색만 사다가 밝은 컬러 사보고 싶어서 샀는데 예쁘네요 근데 저렴해서 그런지 확실히 얇긴하네요 안에 뭐하나 입고 입어야겠어요. 돌돌말린것도 귀엽고 길이도 너무 짧지도 길지도 않아서 치마든 바지든 어디에나 잘 어울릴 것 같아요 다른 색상도 너무 예쁜데..ㅠㅠㅠ 항상 색상 고민... 너무예뻐요!!
alswn49**|일단 단점은 밑에 부분이 약간 퍼진다는 것이고 따로 사이즈도 없어서 약간 덩치 있어보여요 후리스치곤 좀 얇은편이고요 장점은 색깔이 정말정말 예쁘고 줄 대신 똑딱이? 튼 그게있어서 더 깔끔해 보이고 속안에도 털이 있고 감촉이 되게 좋아요ㅎㅎ
nsj07**|일단 배송이 매우매우빨랐어요 진짜 시킨다음날에 배송되서 이틀만에 받을수있었어요 고고싱에서 산 니트랑 같이 입을라고 샀는데 마음에들어요두깨가 살짝 얇아서 완전추운 겨울에는 못입을꺼같은데 그래도 가격에비해서는 만족합니다!길이도 살짝긴데 원하던기장이구요
wnthgml**|생각했던거 보다 많이 두껍네용ㅋㅋ 요즘 날씨에 딱인거 같아요역시 고고싱 최고예요
thwjdo**|혹시 촌스러운 핑크일까봐 진짜 고민했는데 색도 사진이랑 똑같이 여리여리 분홍이라 너무너무 맘에 들어요ㅠㅠ 품도 넓어서 안에 두꺼운 니트를 입어도 넉넉하구요 봄에서 가을까지 겨울에도 무난하게 입기 좋을 것 같아요 너무 예쁘고 자주 입어요 여기저기 코디하기 좋아요 ㅎㅎㅎ
nsj07**|계속 입고가 늦어져서 이주일정도 걸렸는데 그래도 늦게온만큼 원했던 느낌으로 왔어요! 생각보다 두꺼워서 돈에비해서 좋은거같아요목부분도 두꺼워서 좋구요 진짜 후회안할꺼같아요 길이도짧을줄알았는데 엉덩이반정도 덮는기장이여서 좋았어요
thwjdo**|브라운이랑 블랙 고민하다 무난하게 블랙샀는데 블랙사길 잘한것 같아요. 무난하게 코디하기 좋구요 박시하게 나와서 데일리하게 입기 좋네요 근데 품이 너무 커서 가방을 매기에 좀 불편하긴 해요. 그리고 팔에 달린 주머니가 그냥 뜯겨서... 그래도 따숩고 좋아요 지퍼는 좀 뻑뻑한 감이 있네요 부들부들하고 대체적으로 맘에 듭니다~~!!!
yyy24**|이뻐요!! 가격도싸고 잘산것같아요
alswn49**|너무 큰 머플러는 약간 얼굴이 묻히는 느낌도 들고 길어서 풀러내리고 불편함도 있었는데 요것은 진짜 아기자기하고 색깔도 이쁘고 풀러내리는 걱정따윈 전혀 없고 뭔가 보는사람이 여자여자해 보이는 그런 아이템인것 같아용 개인적으로 베이지가 제일 이쁜것같아여♥
cjstk22**|주문하고 입고가 늦어져서 몇주 기다린후에야 받아서 좀 실망이컸지만 그래도 옷은 예뻐요 길이도 짧지도않고 길지도 않은 적당한 길이라 맘에들ㄹ고  .. 좀 얇은감이 있긴한데 안에 티나 나시받쳐입으면 되니까 문제되진않는것같아요 옷은 좋지만 급하게입으셔야하는분들은 다른옷사셨으면
wnthgml**|생각보단 두껍네용ㅋㅋㅋ 역시 고고싱
hanna71**|이거는 지금도 입고있다는 사실!ㅎㅎㅎㅎ 가격이 너무 너무 착해가지고는 옷 질감도 별로 안좋을 것 같았는데 너무 부들부들하고 춥지도 않아여ㅜㅜㅜㅠㅠ 따뜻하답니당ㅎ 핑크색이랑 다른색깔도 재구매할까 생각중ㅎ 다른쇼핑몰이랑 메롱샾은 진짜 비교를 못할 정도로 퀄리티가 매우 뛰어나네욯ㅎㅎㅎ
thwjdo**|색은 얼핏보면 검정같아 보이는데 딱 제가 생각했던 데님느낌이라 너무 맘에 들어요 다리가 더 얇아 보이구요. 평소에 고고싱에서 28사이즈로 구매했는데 사이즈도 딱 맞앚어요. 항상 고고싱에서만 옷 주문하는데 후회없네요. 예뻐요~~~
alswn49**|진짜 제가 식당 알바를 하는데 서빙하랴 설거지하랴 행동하는게 많은데 알바할때 쫌 안 쫀쫀하고 다리 잘 안벌어지는 바지입으면 엄청 불편한데 이 쫀쫀하이스키니는 대박 쫀쫀해서 불편함도 없고  알바하거나 행동이 큰 일을 할때 짱좋은것같아요♥
khymi**|간단하고 단순하게 입을수있는 치마를 갖고싶어서 찾아봤는데 이옷의 블랙이 가장 괜찮은 것 같아요!! 편하게도 입을 수 있구요 원래 블랙이 품절이라서 입고되기를 기다렸는데 기다린 보람이있어요!! 입고가 되어서 정말 다행이에요 가격도 좋구요.
hanna71**|와. 이건 걍 사시오!!! 사진과 다르게 되게 세련되 보이고 질감도 부들부들하니 너무 좋네요ㅎㅎ 이정도 퀄리티에 이가격이면 레알 메롱샾 남는거 없을듯ㅠ 그냥 소비자들의 마음을 너무 잘알아주시고 세일같은것도 많이 했음 좋겠어요ㅠㅠ 이미 많이 하고있지만♡ 메롱샾 넘나 사랑하는것♡
kha7**|진짜 좋아용 완전 짱!!! 색상도 마음에들고 두께도 얇지않아서 코트안에 잘입고다녔어요  목부분도 짱짱해서 좋았어요 길이도 너무 길지않고 품도 많이 루즈하지않아서 좋아요 냄새도 없어서 바로입었어요 촉감도좋고 자주 입게됩니다^^!
liy9108**|크림색이라고 했는데 사진이랑은 좀 다르게 베이지톤인거 같아요조명에 따라 다를 수 있다 생각 했고 상관없다고 생각이 들어서그냥 입고 있습니다ㅋㅋㅋ이것 역시나 길이가 짧은 감이 있지만 안에 넣어 입는데..가끔 빠져요ㅠㅠ 좀 불편한것도 있지만 따뜻하게 입고 있어영
hanna71**|진짜 이것도 별 생각 없이 산 제품인데 넘나 좋은것..♡ 매일 매일 하고 다니고 있답니다♡ 헿 보기와 다르게 길이도 길고 이아이템 장착하고 어디나가면 그날따라 청순청순 하다는 소리를 많이 듣는듯ㅎㅎ 이렇게 가격도 착하고 질감도 좋은데 메롱샾 뭐남는거라더 있나요ㅠㅠㅠ
rlawng**|색감도 예쁘고 만족해요~데일리로 즐겨입기에 좋을것 같아요!!아직 입어보지는 못했는데..설 끝나고 몸무게 조정해서 입으려고요~ㅠㅠ약간 작게 나온것 같다고는 하는데 스판끼가 좋더라고요!그래서 편하게 입을수 있을것 같아요!제가 약간 고민이 많은편이라 구입까지 오래걸리는데 고고싱은 벌써 2번째 구입이네요~ 개인쇼핑몰은 구매 안해봤는데..ㅎㅎ여기 애용중인거 같아요^^믿는곳 한군데만 이용하는 편이라~전체적으로는 만족해요!지금까지 샀던 제품들..하자가 없어서 그냥 뒀다가 입으려고 나뒀는데 괜찮겠죠?ㅎㅎ앞으로도 예쁜옷 많이 만들어주시고 이벤트도 많이많이 해주세용~~ㅎㅎ적립금 부탁드려요~~ㅎㅎ
dwcc94**|오오오 정말 좋아요! 이너로만 입을려고 샀는데 생각보다 면이 쫀쫀하고 길이서 나중에 뷔스티에랑 같이 입어도 예쁠것같아요 같이 산 물건중에 가장 만족하고있어요!!!!!!트임길이가 조금만 짧아도 이쁠것같긴한데 지금 기장도 만족해요!
hanna71**|진짜 이건 꼭 사야함요ㅠ 그냥 베이지색 코트 하나 장만할라고 제일싼거 산건데 왠열ㅠ 가격에 맞지않게 너무너무 좋잖아요ㅠㅠㅠㅠ 이렇게 좋고 가격도 착한 쇼핑몰을 이제야 발견했다니 저그동안 호갱짓만 하고 다닌거 맞죠..?ㅠ 이제라도 찾았으니 다행인것같아요ㅜㅠ 앞으로 메롱샾!! 자주 이용할생각입니다♡ 친구들한테도 많이 알려주고 심지어 홍보까지 하고있다는...ㅎㅎㅎㅎㅎ
jde04**|와....진짜 이뻐요ㅠㅠ 기대하고샀는데도 역시나 기대를저버리지안네요!! 색상도 넘 이쁘고 재질도 좋고!!브라운색상의크로스백 진짜 갖고싶었는데 너무좋습니다♡혹시 고민하고있는 분들 꼭 사세요 후회절대안합니다ㅠㅠ 인생템♡♡앞으로많이 이용할게요 감사해요!! 고고싱 짱♡♡
tpwls12**|계속 땡땡이가디건이 사고싶었어서 벼루고있었는데 드뎌샀어요!!!!!ㅠㅜㅠ 고고싱꺼가 제일이쁜것같아요 진짜가격도싸고 ㅠㅠ 사이즈도딱이쁘게맞구 재질도좋고 쫀쫀해요의외로 두께감도있어서 코트안에 원피스만입음 추울것같아서입었는데 따듯하네요ㅎㅎㅎ 봄에 청바지에만 입어도완전예쁠듯.. 강추에요!!!
dwcc94**|옷은 가격에 비례한다는게 맞는것같아요 물론 세일가에 사서 정가보다는 훨씬 저렴히 샀지만 그 가격에 맞는 퀄리티 옷을 받은것같아요 확실히 사진에선 재질이 잘 보이지 않지만 막상 받아보면 이너를 깔끔하게 입지않는 이상 저렴한 재질이 더 눈에 띌 것같아요
kby**|원래 사이즈대로 시키면 작다고 해서 고민을 많이 했는데 항상 크게시키면후회하는스타일이라서 그냥 원래사이즈대로 시켰는데 다른바지에 비해 매우 타이트한 감이 있아요 특히 저한텐 다리는 맞고 허리가 그렇더라구여ㅠㅠ 그래두 따뜻하구 신축성이 좋아요
dwcc94**|신기해서 사봤는데 진짜 신기해요ㅋㅋㅋㅋ근데 나무 막대는 생각보다 잘 안써지고 뭐랄까..편지지가 예쁜게 아니라 색종이에 크레파스 칠해논 느낌? 싼거라 어쩔수없긴 하지만 너무 기대해서 그런지 실망...ㅜ 글자 하나하난 예쁜데 전체적으로보면 다 무지개색이라 지저분해요
hanna71**|배송 받자마자 입고나갔는데 친구들이 패션센스 좋다고ㅜㅠ 너돈 없다면서 이런거 비싸지 않냐니깐 만이처넌에 겟했다말하니 다들 산다고 하더라구요ㅠ 마감처리나 색감이나 옷감까지 싹다 너무 좋아요!♡♡ 앞으로도 모든 옷들은 메롱샾에서만 이용할 생각입니다♡히히히
liy9108**|사진에는 잘 안 보이지만 검은 목폴라 니트에남방을 입은 겁니다이 옷을 입고 찍은건 전체샷이 없어서ㅋㅋㅋ이렇게나마 포토후기 남깁니다목폴라라 따뜻하게 입을 수 있더라고요원래 얼굴 부각 될까바 목폴라..는 조금 고민하게 되는데이건 괜찮네요! 근데 저만 그런지 모르겟지만 허리가 조금 짧은거 같아요니트인데 길이가 짧게나왓나? 싶긴한데 저렴하게 세일 때 구매해서 그냥 입고 있어요 안에 이너로만ㅋㅋ
kby**|회사에서 일할때 추우면 걸치려고 샀는데 니트에 하나만 입어도 뜨신게 아주 젛아요~~ 다만 올때 점 구겨쟈있어서 받자마자 열심히 다림질 했어요 .. 그외의 사항들은 다 마음에 들었습니다~ 가격대비 저렴해 보이지도 않고 괜찮았던것 같아요ㅎㅎ
tpwls12**|키가 큰편인데 길이감도 적당한거같구 스판끼도좋네요!! 핏도이쁘구용ㅎㅎㅎ 재질도 괜찮아요 가격도싸고~~ 사이즈도 딱좋구 역시 블랙진은 기본으로있어야하는듯해요ㅎㅎ 코트나 점퍼 등등 다잘어울리고 받쳐입기좋아욤ㅎㅎ다맘에들어용~~~~
liy9108**|골덴이라서 두께감도 있어서 안에 긴팔입고이거 입어줘도 춥지 않아요!!자주 입을거 같아요ㅋㅋㅋㅋ편하게 입을 수 있어서 좋네요남방 많이 가지고 있지만 어두운 색이 많은 편이라베이지색 같은 색은 없엇는데그나마 좀 화사해진 거 같고 마음에 드네요!!
gkstnfl**|편하게입을수있어서 좋습니당ㅎㅎ
rlawnau**|바지 너무 이뻐요ㅠㅜ 핏이 조~금 이상하긴한데 제가원하던 디자인입니다 하이웨스트라서 맘에들고 색갈더 맘에들고 다 좋습니다. 한가지 흠이라면 처음왔을때 수영장냄새?왁스?냄새가 좀 나더라구요ㅠㅠㅠ 아직도 냄새가 안빠지네요 그거빼곤 좋아요. 자주 입을꺼 같습니다
gkstnfl**|어깨가너무커요... 그래도색은이쁘네요
gkstnfl**|그냥 받쳐입기좋은옷
gkstnfl**|밑에 쪼이는게 잘안되서 아쉽네요ㅠㅠ
wjddl03**|좋아요 ~
romeo**|아이거 카키색 한번더입고되면 꼭사고싶어요 진짜 ㅠㅠㅠㅠㅠㅠㅠ2만원에 이런퀄리티라니 소재진짜신기해요 안에 공기들어잇는거같기도하고 스펀지들어잇는거같기도하고 엄청 폭신폭신해요 이것도 보풀좀많이일어나긴하는데 제거해주면뭐 ㅎㅎ
lyw**|예전부터 터틀넥 니트 사고 싶었는데 아주 마음에 듭니당ㅎㅎㅎㅎ 길이는 엉덩이 전혀 안 덮을 정도로 좀 짧은 편 이에요... 제가 길이를 못보고 사서 짧은 게 약간 아쉽긴 한데ㅜㅜ 그래도 치마나 바지에 넣어서 입기에는 딱 좋을 것 같아요ㅎㅎㅎㅎ
lovelyla**|단품으로 입기는 좀 부해보일것같아서- 저는 조끼니트랑 매치해서 입으려고 주문햇습니다~~ 조끼니트랑 매치해서 입으니 부해보이지도 않고 깔끔하니 너무 이쁜 원피스에요^^ 다만..요아이 하나만 입기엔 너어어어어무 길이가 짧네요 ㅋㅋㅋ제키가 160인데.. 음.. 그냥 서있어도 엉덩이 겨우 가릴정도의 길이.. ㅠㅠ 원피스가 아니라 아래에 뭘 입어야되는건가 싶을정도네요 ㅋㅋㅋㅋ 이게 또 펄럭거리는 밑단이라 조심하지않음 ... 안이 다 보일것같은 느낌이에요. 기장만 조금 더 길었으면 참이쁜원피스네요^^;
