wkaocjs**|빨리 올줄알았눈데 좀 늦었네요. 그래도 바로 입고 외출~ㅎㅎ 좋아요 부들부들 하니 부드럽습니다
suri96**|진짜 예뻐요 저는 핑크 시켰는데 특히 여름에 흰색 반팔 위에 같이 입으면 니트라 좀 덥긴 하지만 진짜 예뻐요 진짜!!!! 그리고 니트가 진짜 두꺼워서 겨울에도 따뜻할듯 진짜 두껍고 잘못하면 부해보여서잘 코디하셔야 해요 근데 진짜 예뻐용
suri96**|윰...뭐랄까 엄청 박시할것 처럼 보여서 샀는데 저한테는 전혀 박시하지 않았고 얇고 그냥 딱 맞아서 안이뻤어요ㅜㅜ 좀 마르신 분이 입으면 진짜 짱짱 예쁠듯 디자인은 진짜 예뻐여
suri96**|이게 아노락이나 후드 안에 입으면 진짜 예뻐요. 진짜 그뤠잇 ㅋㅋㅋㅋ 그리고 목 부분이 너무 길지 않아서 목이 안 짧아 보여서 좋구요 품도 딱 적당했어요. 막 쫄티처럼 째지 않고 그냥 헐렁하고 넉넉해요 좋아요!
suri96**|아 이거 진짜 예뻐요 겉에 라이ㄷ자켓을 입던 청자켓을 입던 그냥 검정 티에 입던 그냥진짜 다 예뻐요 뒤에 후드 달려있어서더예쁘고 진짜 딱 그 캐쥬얼한 느낌? 진짜예뻐요 맨날입고 다닙니다 ㅋㅋㅋ 진짜 꼭 사세요 후회 안할거에여
suri96**|일본여행갈때 쓰려고 검정 샀어요. 흰색은 너무 튈까봐 검정 샀는데 검정이 진짜 제일 예쁜것 같아요 진짜 다 검정 사세요 검정이 최고 진짜 예뻐요 진짜 얼굴 화사해지고 진짜 예뻐요 다른 귀도리는 조이는게 없는데 이건 귀도리 조일 수 있게 끈이 뒤에까지 달려있어서 진짜좋았어요!!진짜 예뻐요
chj18**|코코아색상 마음에 들고, 사이즈도 너무 크지 않아 마음에 들어요. 두툼해서 따뜻하구요.다만 제가 입어본니트 중에 가장 무거웠어요ㅠㅠ진~짜 무거워요;;  목 부분도 잘 늘어났다가 줄어드는 재질이 아니라 입기 불편해요.그래도 보풀은 안 일어날 것 같아요
suri96**|소매가 조금 길긴 한데 제 키에 엉덩이 3/2정도 오는..? 그런 길이고요 딱 적당하고 좋아요!! 근데 겉 기모라 그런지 따뜻해 보이지만 정작 입으면 그렇게따뜻하지는 않아요 ㅋㅋㅋㅋ 근데 디자인이 넘 예뻐서 좋았어요!!진짜 예뻐요 약간 인디핑크@
suri96**|이게 레깅스라서 그런지 진짜 하나도안불편하고 아무것도 안입은것처럼 진짜 편해요 ㅋㅋㅋㅋㅋ 소재는 그냥 면..? 인것 같구요 하나쯤 있어야하는 그런 디자인이라 사봤는데 추천합ㄴㅣ당
chj18**|피팅컷보다, 생각보다 사이즈 진짜 박시합니다.길이도 길고 너비도 넓어요. 카키색상 예뻐요. 차콜같으면서 카키라 더 좋아요. 편한 바지에 무심하게 입을수 있어요.두툼해서 따뜻한 편이나 아크릴냄세가 나고, 디자인때문에 구멍으로 바람이 좀 들어오긴해요.그치만 목부분이 까슬한 편이 아니며 널널해서 답답하지 않습니다. 무게감은 보통
chj18**|진짜 부드러워요. 보풀은 많이 날 것 같은 재질이고두툼한 거에 비해 가벼워요. 부드럽고 가벼우면서 따뜻한게 장점입니다. 핏은 슬림핏 아니예요.기장도 꽤 길구요.
wissmzkfls**|치마자체는 엄청나게 이쁜데요. 제가 살이쪄서 좀 끼더라구요. 여름 오기전에 살을 빼면 편하게 잘입을 것 같습니다. 가격은 싼데 재질도 좋고 쫀쫀해서 만족합니당♡
seonju05**|운동화나 구두 등 다 딱 240인데, 애는 맨발로 신으면 약간 여유있고 양말신고 신으면 잘 맞아서 좋았어요! 고고싱에서 총 상품4개를 시켰는데,  입고지연 상품때문에 총 3번에 걸쳐서 개별배송해주셔서 감동받았어요 그것도 일주일 막 이렇게 지연도 아니고 하루~3일 지연 차이인데도요!!  신발이 옆면?이 딱딱하지 않아서 신었을 때 새신발이라서 발이 아프진 않는데, 상자에 포장되어있었는데도 한쪽 윗부분이 사알짝 눌렸어요ㅜ신으면 티가 안나지만요!밑바닥은 막 딱딱하진 않지만 그렇다고 푹신한 느낌은 못받았어요 그렇지만 가격이 싸잖아요!!사진을 실물처럼 못찍었지만ㅜ 사진이랑 똑같았어요! 단점은 냄새가.....베란다에 두면 냄새 빠지겠죠....?
sssong**|검정색이랑 흰색샀는데 검정이 좀더 많이입을거같아여 목이 잘 안늘어날거같고 길이는 좀 기네요ㅜㅜ 넣어입어야할듯해요
sssong**|옷 자체에 신축성이 없어서 한사이즈 크게 사셔야할거같아요 그리구 기재된 길이보다 짧은것같아요!
sssong**|지퍼 끝부분이 좀 빡빡하고 구겨져서 왔어요ㅜㅜ 그래두 핏이나 길이 신축성 모두 좋아요!!!~
sssong**|겉에 기모가 살짝 잇어서 도톰하고 셔츠 기장이 굉장히 길어요ㅠㅠ 잘 엉덩이를 다 덮네요 그래두이뻐요
sssong**|재질이 좋고 흰색 치고는 많이안비치네요! 같이산 연청 스커트에 코디해서 입으면 너무 이쁠거같네요
seonju05**|제가 하체비만 중에서도 제일 심한 하체비만이라 항상 치마 L사이즈를 사면 하체는 맞고, 상체는 커서 흘러내려서 다리 짧아보여서 슬펐는데, 애는 하체도 맞고 허리도 맞아서 좋았어요!! 그렇지만 다른 치마 L 사이즈에 비해 딱 붙기때문에 상체 뱃살을 가려주진 않았어요ㅠㅠ 실물이랑 똑같이 생겼어요!!추천
vv08**|함께 구매한 가디건이랑 입으니 잘 어울려요.다른 옷들도 맘에 쏙 드는데 치마가 정말 맘에 듭니다.
vv08**|제가 찾던 가디건이에요.옷가게 뒤지다가 고고씽에서 드템했네요. 색상 디자인 다 맘에 쏙 들고 치마에 입으니 더 이뻐요.
vv08**|교복 위에 입기 딱 좋아요.추위를 많이 타는데 옷이 따뜻하고 포근해서 매일매일 입게 되네요. 강추합니다.
pyu09**|바지 너무 이뻐요 입은거보고 친구들도 이쁘다고 사겠다고 난리에요 길이도 8부여서 이쁘게 보이고 스판 장난아닙니다 ><
hambak87**|얇긴해도 옷 좋아요
pyu09**|진짜진짜 고민중이라면 꼭 사세요 !!! 흑청 진짜 이뻐요 ㅠㅠㅠ 품도 넉넉하고 만족합니다
hambak87**|옷은 따뜻하고 좋은데 목쪽이 너무 올라와서 조금 그래여~~~~~앞엔 너무 길이가 짧은거 같기도 하고,,그래도 따뜻해여~
hambak87**|스판기는 많고 옷 재질은 좋은데~가슴밑에 부분이빵꾸가 나서 왔네요~~ㅜㅜ 교환한다고 했는데 담주 월욜에서 수욜사이고,또 제품보고 다시 배송기간이 있어서 귀찮아서 그냥 꼬매서 입으려구요~반품도 안해보고 해서리....옷상태를 꼼꼼히 보시고 배송해주세요~ㅜㅜ
pyu09**|벨트 무난하게 아무바지든 다 매치할수 있어서 좋은거 같아요 !! 가격도 싸고 만족합니다 !!
chldudwn41**|진짜 보자마자 너무 마음에 들어서 고민없이 주문한 옷이에요 크게 비침이 심하지도 않고 꽃패턴도 촌스럽지않고 너무 예뻐요 평상시에 크롭청바지랑 코디하는데 너무 예뻐요
chldudwn41**|너무 예뻐요!! 블랙스커트나 청바지나 어디에도 편하게 입을 수 있어요! 재질도 괜찮고 리본 포인트가 있어서 허전하지도 않고 완전 좋아요
14828545**|브라운 샀고 잘 입어서 회색컬러도 또 구매합니다. 두툼한데 핏은 또 잡아줘서 잘 입게 되네요
ryn02**|패딩에 이어 가방도 고고싱에서 주문을 했는데 처음보자마자 어? 이 디자인은 뭐지 흔하지도 않고 너무너무 이쁜데 이래서 샀는데 진짜 잘 산거 같아요 실제로 볼때는 아이보리에 땡땡이가 있는데 땡땡이가 거의 안 보이고 너무 이뻐요 가방 끈도 적당하구요 하자도 없구요 뒤에 2개의 포켓이 있어서 너무 편해요 그냥 넣고 필요할때 바로 꺼내면 되니까 그리고 안에 귀요미 한 포켓까지!거기에 틴트나 화장품 아니면 열쇠 이런거 두면 될꺼 같아여 화장품 넣는 분 들은 조심해야 할꺼 같아요 색조 화장품이면 더더욱 가방이 아이보리 선택 하신 분들은 더더욱 소중한 가방에 틴트라도 묻으면...빨리 귀찮죠..그래도 아이보리가 이쁘니까 포기가 안되는거 같이욯ㅎㅎ그리고아직까지는 단점은 없구요 가방옆에 인형 하나 달고 다니면 진짜 이쁠꺼 같아요 공간도 넉넉하고 처음 받았을때 왜이리 크지? 이랬는데 사용하다 보니까 적당한거 같아여 앞으로 이 가방만 이용 할 예정 입니당 ㅎㅎ 앞으로 이런 디자인 흔하지 않고 이쁜 가방 고고싱 많이 업데이트 해 주세요♡♡그리고 고고싱 진짜 강추 여러분 이거 살라고 리뷰 보고 있으신 분들 그냥 사세요 이뻐요 너무 안사면 해 입니당 무조건 사세요!그냥 ㅎ
14828545**|최악이네요..ㅠㅠ 세탁기에 돌렸는데 타이부분이 올이 다 풀려서 타이 반을 다 짤라냇어요 그말은 옷 버려야한다는...ㅜ 옷 질도 너무 안좋네여
14828545**|보들보들하고 디자인 이쁘고 좋아요~ 뒤에 밴딩처리되어잇으면 좋앗을텐데 그부분은 아쉽네여ㅠㅠㅜ
ryn02**|와 제 롱패딩이 부해보이고 어깨도 넓어 보이고 그래서 고고싱에서 주문을 시켰는데여✔제가 어깨가 넓음에도 불구하고✔ 이 패딩은 어깨도 안 넓어 보이고 너무 이뻐요 ㅜㅜ 일단 옷 핏이 펑퍼짐 해서 귀여워 보이는 점도 있고 작은 키도 커버 쳐주고 단추금색 포인크가 너무 이뻐요 주머니도 적당히 넓어서 폰이나 이어폰 지갑 틴트 등등 다 들어가구요 저는 무엇보다 주머니랑 롱패딩의 길이가 차이가 나서 조았어여 흔하지도 않고 ㅠㅠ배송도 역시 고고싱 당일발송♡ 하루만에 왔구요!! 여러분 이거 살까?? 이러지 말고 그냥 사세여!!!✔강추강추✔안사면 후회해여 ㅠㅠ 아 그리고 롱패딩에 모자가 진짜 너무 귀여워서 사진 찍어도 이쁘게 나오구 진짜 짱입니다 패딩이 처음에는 얇아서 뭐지? 이랬는데 좀 납두고 시간이 지나니까 올라오더라구요!근데 지퍼는 약간 뻑뻑한 감이 없지않아 있습니다..ㅠㅠ 이점 보안해 주면 좋을꺼 같아여 하지만 뭐 이 정도 가격에 이 퀄리티면 좋은거죵 ㅎㅎ그담에ㅎ 패딩 얇아 보이는 점은 처음에 포장 때문에 좀 그런거니까 시간두고 보면 진짜 부풀어서 올라와요!앞에 핏 옆에 핏 뒤에 핏 하나같이 다 이뻐요 싼티는 전혀 안나구요 그냥 일반 패딩처럼 디자인도 이뿌구 조아요!꼭 사세요 진짜 안사면 후회 하니까 우리 일단 사고 후회 합시다 (후회할 일 없어요 전혀)그만큼 진짜 짱짱 입니다! 사세요 ㅎㅎ그리고 진짜 이번 겨울 따뜻하게 입을게여 고고싱 사랑해요❤앞으로 자주자주 이용 할게여(앞으로 고고싱만 이용 할 예정)#리뷰 사진에 보이는 건 거울이 더러워서 그래여..ㅇㅅㅇ..패딩은 깨끗해여#
yofh**|안에 바지 달린 치마 처음 입어봣는데 매우 좋은 거였군요기모포슬포슬해서 입기 좋습니다 따뜻해요
yofh**|연청 사고 너무 예뻐서 진청도 샀어요 연청이랑 같이 제일 자주 입는것 같아요 저는 길에서 밑단 접어 입는데 귀여운느낌 나요
yofh**|보기에 너무 크롭이라 아직 입어보지 않앗는데 가격이 너무 저렴해서 남방안에 입기 좋을 것같아요 재질 좋던데요
yofh**|촉감은 약간 떨어지는 면이 있는데 핏이나 기장이나 너무 잘 맞고 허리 딴딴하게 잡아주고 신축성있어서 편해요
bokyeong19**|신발이다자인이나 사이즈나 완벽하네용 다자인은 심플해서 치마나 바지나 다 잘어울랄것같아요사이즈는 정사이즈 입니당!
bokyeong19**|허리는 맞는데 허벅지 쪽이 생각보다 핏되는 다자인이라 속옷 선택 잘해야할것같아요 옷 핏이랑 색깔이 이뻐서 맘에들어욤><
leesun5**|원래 이런 쫀쫀이 레깅스는 누구든 잘 맞을거에용ㅎㅎ제가 키가 큰편인데도 길이가 아주 적당하그여약간의 두께감도 있어서 아주 딱이에용!!!!추천!!!합니당!!♡ 완존 마음에 들아용
leesun5**|이거 색깔 진짜이쁨!!!!!!!!!!!!!!세상네상이쁨!!!!!소매 안접어서 입어도 이쁘고 접어서 입어도 이쁜데저는 키가있어서 접으니까 좀 많이 접힌다는 생각이 들기 하던데 그래도 이뻐여!!
leesun5**|보들보들하고 따뜻해요~~~♡약간의 두께감이 있어서 지금날씨에 이 치마를 입어도 괜찮은 것 같아용!!!!색깔도 맘에들고 길이도 내 마음에 들어요!!고고싱은 언제나 옷을 이쁘게 잘 만드시는 것 같아옹~
21849340**|너무마음에들어요!! 회색으로 구매했는데 후기에서 할머니옷같다고 적혀있는거 보고 좀걱정했는데 전혀 안그래요!개인적으로 검정스키니에입는게 가장깔끔하고 여성스러워보입니당 ㅎㅎ
21849340**|키가 큰편인데 많이짧지않아서 딱입기좋아요!!아직은 추워보이지만 두꺼운가디건 밑에 같이입어도 어울리고팔부분이  찰랑거려서 봄에도 좋을것같아요!
21849340**|잘못입으면 뚱뚱해보일수있는옷인데 딱 예쁘게 잡아줘서 좋았어요!조끼에입어도 어울리고 코트에도 좋어울려요!!목부분이길어서 접어입기 좋고무엇보다 엄청따듯합니당 ㅎㅎㅎ
god25**|ㅋㅋㅋㅋㅋㅋㅋㅋ 뱃살땜에 좀 신경쓰이지만이뻐요!!!이런 단가라크롭티를 구매하고싶었는데고고싱에 딱있네요!!!여행갈때 입으려구요!!!!
fbgksthf**|(통통 못입음, 여름블라우스 얇기, 리본안묶여옴)키 168에 웬만한 프리사이즈는 다 맞는 66반 입는 똥똥한사람입니다.  후기에 가슴큰사람은 못입는다해서 가슴작으니까 그냥 삿는데 내 갈비뼈가 너무 크네요 ㅎ네 통통하신분도 못입습니다 아마 44 55 사이즈 분들이 입으셔야 맞을듯 ㅎ..어깨랑 팔은 맞는데 목이랑 옷둘레가 굉장히 작아요 자로 길이 재본다는걸 깜빡했네카라가 목 중간까지 올라와서 목 엄청 짧아보이고 목단추 잠구면 엄청 쫄립니다그리고 엄청 얇아요 ㅎ 이건 뭐 거의 여름 블라우스 수준임 겨울에 입으면 얼어죽을듯그래도 리본이 맘에 들어서 반품 안함 ㅎ교복처럼 리본 묶여와서 다는건줄 알았더니 그냥 천임 ㅎ 셀프로 리본 묶으셔야함ㅋ니트안에 입으니 봐줄만 하긴 한데 한번입고 버릴듯15000원짜리 검은색 천 잘 매고 다니겠음
dldbwls5**|진짜 요즘 구매한 니트중에 최곱니다ㅠㅠㅠ 너무예뻐요 저 니트살때 굉장히 깐깐하고 그래서 냄새나면 안되고 까실하면 안되는데 얘는 둘다 없어요!! 냄새 걱정 하시는분들 냄새 거의 안납니다~~ 무엇보다도 진짜 디자인이 최고에요 저 이런 특이한 디자인 니트 사고싶어서 한참 헤맸는데 밖에 돌아다녀봐도 이런디자인은 정말 없어요 너무 무난하면서도 특이한 디자인?? 흔하지 않은 예쁜 니틉니다 완전 여성스럽고 고급스러워요 하나도 싼티 안나구.. 왠만하면 후기 잘 안쓰는데 이번엔 너무너무 만족스러워서 올립니다 진짜 사셔도돼요 아 그리고 길이는 키크면 조금 짧을수도 있는데 키가 너무 크지 않다면 괜찮을거 같아요! 배에 넣어서 입을 수 있어요ㅎㅎ 저는 원래 살짝 짧은게 예뻐서.. 암튼 정말 대만족입니다
w9908**|라이더 자켓 처음사보는데 생각보다 예쁜것같아서 자주자주 입을것같아요~가격대비 좋은 자켓 산것같아여~
jinha**|정말정말 가격대비  너무너무 예쁜 제품이에요 ! 제가 사진을 잘 못찍는 감이있는데 실제로 보면 가격대에 비해 패턴 무늬도 너무 예쁘고 저는 살짝 어깨 부분이 타이트 한걸 좋아하는데 그건 아니지만 인터넷에서 안입고 시킨것 치고는 어깨 부분이 부해보이지 않아서 좋았어요 ! 어릴 때 부터 항상 옷살때는 고고싱에서 사다보니까 이제는 배송도 빠르고 믿고 시키게 되네요 ~~  옷도 얇은감? 도 많지 않아서 날풀렸을때 입기 딱 좋더라고요 ㅎㅎ 바람 불면 살짝 춥지만 오른쪽 어깨 아래 팔쪽부분에 실 마감처리 불량이 있는데 그냥 교환하기도 귀찮아서 그냥 입으려고 합니다 늘 느끼지만 고고싱 제품 배송도 빠르고 가격대비 너무 좋아요 ! 이 옷 입으면 여성 스러움 뿜뿜합니다 !
w9908**|그레이랑 인디블루랑 고민하다가 샀는데 가격에 비해서 예쁜것같아요!! 배송도 빠르게 와서 예쁘게 잘 입을것같아요!
w9908**|배송두 빠르게 오구 가격도 저렴해서 두가지색상 샀는데 모두다 맘에들어서 쉽게 자주자주 입을 수 있을것같아요~~
w9908**|니트가 얇아서 봄에 입기 좋을것같아요~ 색도 무난해서 코디할때 활용하기 쉬울것같아요 가격대비 좋은옷!!
