wkaocjs**|빨리 올줄알았눈데 좀 늦었네요. 그래도 바로 입고 외출~ㅎㅎ 좋아요 부들부들 하니 부드럽습니다
kelly06**|중간 길이 치마가 필요해서 샀는데 사진이랑 똑같이 예뻐요!길이도 딱 괜찮고 검정색이여서 모든 옷에 다 어울릴 거 같아요~~사이즈는 M인데 허리랑 엉덩이 부분이 쪼끔 큰감이 있지만위에 옷 넣어 입으면 괜찮아요!부족한 걸 꼽으라면 치마 밑단에 실밥들이 너무 치렁치렁하게 나와있어서...가위로 정리해야했어욥 이것도 그렇게 불편한 점은 아니여서 만족합니당!
kes9905**|고고싱에서 아우터 정말 오랜만에 구매했는데 완전 만족합니다디자인이랑 색감은 화면이랑 거의 똑같아요핏은 제가 생각했던대로 박시하고 이쁘게 나온거 같고코트 안쪽에 안쪽 잠구는 단추도 있던데 세심함에 좀 놀랐습니다다른 쇼핑몰에서 코트 두세벌 시켰었는데 안쪽 단추는 없었거든요조금 아쉬웠던 점은 생각보다 누빔이 엄청 두껍진 않았어요 전코트 에서 얇다고 한걸 보안해서 나온거라던데 확실히 그 코트도 이뻤는데 얇아서 구매 안했었거든요 누빔을 강조 하길래 많이 두꺼운줄 알았는데 엄청 두껍진 않아요 그래도 확실히 누빔이랑 울 소재라 따숩긴 합니다!그리고 밖에 단추때문인지 주머니에 손 넣으면 계속 단추쪽에 걸리는데 넣을때 좀 막혀있는 느낌이 나서 뭐넣을때 불편해요주머니 빼고는 너무 마음에 들어서 자주 입을 것 같아요ㅎㅎ
suri96**|검정 샀어요 근데 그냥 얇고 음 그냥 디자인은 무난무난 예뻤어요 근데 진짜 얇아요 초가을 느낌...?
suri96**|싸서 그런지 약간 입을때 까슬까슬한 느낌은 있었지만 그냥 딱 화면 보이시는데로 박시하지 않고 약간 얇은 꽈배기 니트에요!! 근데 그렇다고 비치지는 않는것 같구 가을쯤에 입으면 적당하실듯 디자인은 진짜 예뻐용
suri96**|옛날에 샀는데 이렇게 후기 남기네요. 쇼핑몰 특유의 빤딱빤딱한 느낌은 있지만 모자라쿤털때문에 귀여워요!!!모자 라쿤털이 신의 한수 잘 입고 다녀욧ㅇ
suri96**|이거 입으면 기모라 따뜻하구 카키색 너무 예뻐요!! 근데 약간 입으면 팔 부분이 길고 두꺼워서 어깡 될 수도 있어요 ㅋㅋㅋㅋ 근데 뭐 전반적으로 예뻐요
suri96**|진짜 예뻐요 밑에 바지를 입던 치마를 입던 위에 코트를 겅치던!!!!!!!진짜 예뻐요 약간 여성스러운 느낌 많이 주고요 넘 예뻐요 진짜 !!!!!!!!
suri96**|야악간 저한테는 좀 짧다 싶은...? 길이는 괜찮은데 옆에 트임이 있어서 옆에서 보면 좀 짧아 보였어요 근데 위에 조끼 니트랑 같이 입었는데 진짜 예뻐요 진짜!!! 리본 잘 묶고 다니시면 진짜 이쁨!!
suri96**|두께는 딱 적당했고 길이는 좀 긴...? 허벅지 위에 쯤 왔어요. 근데 여기 고고싱 레이어드 원피스랑 이거 갈색이랑 같이 시켜서 입었는데 진짜 완전 퍼펙트한 가을 룩이였습니다 예뻐여 사세요 !!!!
sgkskj**|물건을 받고 입은 순간 예쁜 옷을 얻은 기쁨이 말로 표현 못할 순간이었요. 겨울에는 이 가디건과 코트랑 같이 입으니 따듯해요. 봄과 가을에는 이것만 입어도 따듯할 것같아요. 가장 맘에드는 물건이었어요.
